股票代號,股票名稱,收盤價,月平均價
"0050","元大台灣50","186.80","187.43"
"0051","元大中型100","78.40","78.60"
"0052","富邦科技","185.70","185.95"
"0053","元大電子","99.70","99.90"
"0055","元大MSCI金融","28.96","29.05"
"0056","元大高股息","36.46","36.49"
"0057","富邦摩台","139.75","139.95"
"0061","元大寶滬深","19.35","19.45"
"006203","元大MSCI台灣","87.35","87.50"
"006204","永豐臺灣加權","113.40","113.58"
"006205","富邦上証","32.94","33.04"
"006206","元大上證50","31.05","31.21"
"006207","復華滬深","25.15","25.25"
"006208","富邦台50","109.70","110.08"
"00625K","富邦上証+R","7.37","7.37"
"00631L","元大台灣50正2","226.95","228.20"
"00632R","元大台灣50反1","23.36","23.29"
"00633L","富邦上証正2","37.96","38.53"
"00634R","富邦上証反1","4.09","4.07"
"00635U","期元大S&P黃金","32.69","32.52"
"00636","國泰中國A50","22.73","22.88"
"00636K","國泰中國A50+U","6.92","6.97"
"00637L","元大滬深300正2","15.43","15.65"
"00638R","元大滬深300反1","8.70","8.63"
"00639","富邦深100","12.03","12.11"
"00640L","富邦日本正2","51.80","52.27"
"00641R","富邦日本反1","6.14","6.12"
"00642U","期元大S&P石油","16.47","16.70"
"00643","群益深証中小","13.53","13.60"
"00645","富邦日本","37.29","37.49"
"00646","元大S&P500","60.40","60.83"
"00647L","元大S&P500正2","95.80","97.28"
"00648R","元大S&P500反1","5.26","5.22"
"00650L","復華香港正2","15.58","15.80"
"00651R","復華香港反1","6.53","6.48"
"00652","富邦印度","34.45","34.47"
"00653L","富邦印度正2","48.49","48.52"
"00654R","富邦印度反1","7.25","7.25"
"00655L","國泰中國A50正2","25.63","26.02"
"00656R","國泰中國A50反1","7.66","7.61"
"00657","國泰日經225","44.16","44.51"
"00657K","國泰日經225+U","13.33","13.44"
"00660","元大歐洲50","39.75","39.55"
"00661","元大日經225","47.92","48.30"
"00662","富邦NASDAQ","87.05","87.80"
"00663L","國泰臺灣加權正2","207.45","208.30"
"00664R","國泰臺灣加權反1","3.76","3.75"
"00665L","富邦恒生國企正2","10.89","11.09"
"00666R","富邦恒生國企反1","10.56","10.47"
"00668","國泰美國道瓊","51.75","52.15"
"00668K","國泰美國道瓊+U","15.69","15.80"
"00669R","國泰美國道瓊反1","6.63","6.59"
"00670L","富邦NASDAQ正2","124.10","126.45"
"00671R","富邦NASDAQ反1","3.61","3.58"
"00673R","期元大S&P原油反1","7.37","7.27"
"00674R","期元大S&P黃金反1","8.85","8.89"
"00675L","富邦臺灣加權正2","90.75","91.20"
"00676R","富邦臺灣加權反1","12.61","12.58"
"00678","群益那斯達克生技","28.89","29.09"
"00680L","元大美債20正2","8.31","8.23"
"00681R","元大美債20反1","20.41","20.52"
"00682U","期元大美元指數","21.71","21.78"
"00683L","期元大美元指正2","24.10","24.23"
"00684R","期元大美元指反1","14.83","14.78"
"00685L","群益臺灣加權正2","80.80","81.33"
"00686R","群益臺灣加權反1","2.29","2.27"
"00688L","國泰20年美債正2","8.26","8.19"
"00689R","國泰20年美債反1","21.12","21.23"
"00690","兆豐藍籌30","34.18","34.28"
"00692","富邦公司治理","43.57","43.68"
"00693U","期街口S&P黃豆","19.77","20.00"
"00700","富邦恒生國企","17.82","17.99"
"00701","國泰股利精選30","28.08","28.18"
"00702","國泰標普低波高息","25.69","25.65"
"00703","台新MSCI中國","19.85","19.99"
"00706L","期元大S&P日圓正2","6.17","6.13"
"00707R","期元大S&P日圓反1","29.11","29.11"
"00708L","期元大S&P黃金正2","46.39","45.93"
"00709","富邦歐洲","32.18","32.00"
"00710B","復華彭博非投等債","20.32","20.32"
"00711B","復華彭博新興債","16.81","16.80"
"00712","復華富時不動產","10.12","10.22"
"00713","元大台灣高息低波","55.00","55.00"
"00714","群益道瓊美國地產","22.30","22.25"
"00715L","期街口布蘭特正2","12.97","13.32"
"00717","富邦美國特別股","16.16","16.18"
"00728","第一金工業30","31.93","31.96"
"00730","富邦臺灣優質高息","23.80","23.66"
"00731","復華富時高息低波","67.20","67.50"
"00733","富邦臺灣中小","49.12","49.17"
"00735","國泰臺韓科技","32.40","32.45"
"00736","國泰新興市場","23.56","23.72"
"00737","國泰AI+Robo","31.57","31.88"
"00738U","期元大道瓊白銀","28.11","27.92"
"00739","元大MSCI A股","22.63","22.75"
"00752","中信中國50","24.51","24.73"
"00753L","中信中國50正2","10.94","11.07"
"00757","統一FANG+","99.50","100.53"
"00762","元大全球AI","66.55","67.35"
"00763U","期街口道瓊銅","27.23","27.17"
"00770","國泰北美科技","45.51","46.02"
"00771","元大US高息特別股","17.75","17.75"
"00775B","新光投等債15+","34.49","34.39"
"00783","富邦中証500","20.58","20.57"
"00830","國泰費城半導體","39.80","40.38"
"00850","元大臺灣ESG永續","44.20","44.29"
"00851","台新全球AI","48.00","48.41"
"00852L","國泰美國道瓊正2","27.32","27.68"
"00861","元大全球未來通訊","43.69","43.91"
"00865B","國泰US短期公債","47.69","47.65"
"00875","國泰網路資安","38.53","38.79"
"00876","元大全球5G","37.13","37.37"
"00878","國泰永續高股息","22.16","22.21"
"00881","國泰台灣5G+","23.26","23.29"
"00882","中信中國高股息","13.04","13.11"
"00885","富邦越南","11.89","11.90"
"00891","中信關鍵半導體","17.66","17.68"
"00892","富邦台灣半導體","17.21","17.21"
"00893","國泰智能電動車","22.87","23.23"
"00894","中信小資高價30","19.65","19.66"
"00895","富邦未來車","28.77","29.20"
"00896","中信綠能及電動車","16.93","16.96"
"00897","富邦基因免疫生技","7.74","7.79"
"00898","國泰基因免疫革命","7.21","7.25"
"00899","FT潔淨能源","13.63","13.77"
"00900","富邦特選高股息30","14.22","14.17"
"00901","永豐智能車供應鏈","20.03","20.04"
"00902","中信電池及儲能","9.03","9.20"
"00903","富邦元宇宙","14.87","15.12"
"00904","新光臺灣半導體30","18.06","18.08"
"00905","FT臺灣Smart","13.65","13.65"
"00907","永豐優息存股","15.98","16.00"
"00908","富邦入息REITs+","12.77","12.77"
"00909","國泰數位支付服務","29.14","30.25"
"00910","第一金太空衛星","28.22","28.50"
"00911","兆豐洲際半導體","24.19","24.55"
"00912","中信臺灣智慧50","18.64","18.68"
"00913","兆豐台灣晶圓製造","20.14","20.14"
"00915","凱基優選高股息30","24.79","24.76"
