類別：所有類別

週,nvda: (全球)
2023-01-01,9
2023-01-08,11
2023-01-15,10
2023-01-22,19
2023-01-29,20
2023-02-05,19
2023-02-12,19
2023-02-19,30
2023-02-26,19
2023-03-05,18
2023-03-12,19
2023-03-19,25
2023-03-26,20
2023-04-02,17
2023-04-09,18
2023-04-16,19
2023-04-23,16
2023-04-30,20
2023-05-07,17
2023-05-14,23
2023-05-21,75
2023-05-28,54
2023-06-04,34
2023-06-11,42
2023-06-18,30
2023-06-25,34
2023-07-02,23
2023-07-09,32
2023-07-16,36
2023-07-23,30
2023-07-30,28
2023-08-06,29
2023-08-13,37
2023-08-20,100
2023-08-27,43
2023-09-03,30
2023-09-10,30
2023-09-17,28
2023-09-24,26
2023-10-01,26
2023-10-08,25
2023-10-15,32
2023-10-22,28
2023-10-29,27
2023-11-05,28
2023-11-12,37
2023-11-19,54
2023-11-26,31
2023-12-03,28
2023-12-10,30
2023-12-17,31
2023-12-24,24
2023-12-31,25
