類別：所有類別

週,nvidia: (全球)
2023-12-31,32
2024-01-07,39
2024-01-14,37
2024-01-21,40
2024-01-28,40
2024-02-04,47
2024-02-11,53
2024-02-18,96
2024-02-25,66
2024-03-03,64
2024-03-10,58
2024-03-17,66
2024-03-24,53
2024-03-31,46
2024-04-07,42
2024-04-14,45
2024-04-21,44
2024-04-28,42
2024-05-05,37
2024-05-12,40
2024-05-19,74
2024-05-26,62
2024-06-02,88
2024-06-09,85
2024-06-16,87
2024-06-23,77
2024-06-30,54
2024-07-07,55
2024-07-14,60
2024-07-21,57
2024-07-28,62
2024-08-04,74
2024-08-11,59
2024-08-18,62
2024-08-25,100
2024-09-01,70
2024-09-08,60
2024-09-15,52
2024-09-22,52
2024-09-29,48
2024-10-06,57
2024-10-13,57
2024-10-20,60
2024-10-27,55
2024-11-03,59
2024-11-10,64
2024-11-17,88
2024-11-24,60
2024-12-01,61
2024-12-08,62
2024-12-15,61
2024-12-22,56
2024-12-29,56
