發佈時間,標題,描述,來源,連結
2023-01-10 08:00:00,Spotify Technology (NYSE:SPOT): Doomed to Keep Losing Money - Nasdaq,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxOYUdDbFl2ZkFZVUx6Rlk5RWhEb2ZldXlDYmo0T2tRLU5NWS03RzRJeEJGUmRoMFhFRl9INFNCU3V1cXpBZTExQi1UWGctYWZEanNCMFdxbmtMSkxxX0ZGUGkyNXhtYU4yeWFfRGQ5d0JVV2xzVmM0NHdiOXRQaTlwbW5zeHFIN3lqVXNjRDJtOGxkTWs?oc=5"" target=""_blank"">Spotify Technology (NYSE:SPOT): Doomed to Keep Losing Money</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nasdaq</font>",Nasdaq,https://news.google.com/rss/articles/CBMikwFBVV95cUxOYUdDbFl2ZkFZVUx6Rlk5RWhEb2ZldXlDYmo0T2tRLU5NWS03RzRJeEJGUmRoMFhFRl9INFNCU3V1cXpBZTExQi1UWGctYWZEanNCMFdxbmtMSkxxX0ZGUGkyNXhtYU4yeWFfRGQ5d0JVV2xzVmM0NHdiOXRQaTlwbW5zeHFIN3lqVXNjRDJtOGxkTWs?oc=5
2023-01-11 08:00:00,Canton's Hall of Fame Village keeps stock exchange listing - Canton Repository,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxQWW5RX1c3UWh6aWtzZXBBSkJBbERfam9qYV9aZG1NVHJkd0RJRWl4QU9NMDdjZnlfQ2Z3RmZzN05aSTgteVFtMzdPMm9EWms4Sy1NTFNnTjd4dXctT3pZMHRGSlVpVl9kblNpTUZqMW5fYk9KTUdWTnRaT0pmd3RoWGdMUlU3VnBaN2xHUHN1SXdncGp4Qnc0NFRNSDZsOUluVzRONUtTd29SR28yX08zWTFWVlpmT2V4T05tekw3Z09pR1A1UE1ZY2dKMkZnUkh6Nl96Z0VhdkNMdw?oc=5"" target=""_blank"">Canton's Hall of Fame Village keeps stock exchange listing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Canton Repository</font>",Canton Repository,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQWW5RX1c3UWh6aWtzZXBBSkJBbERfam9qYV9aZG1NVHJkd0RJRWl4QU9NMDdjZnlfQ2Z3RmZzN05aSTgteVFtMzdPMm9EWms4Sy1NTFNnTjd4dXctT3pZMHRGSlVpVl9kblNpTUZqMW5fYk9KTUdWTnRaT0pmd3RoWGdMUlU3VnBaN2xHUHN1SXdncGp4Qnc0NFRNSDZsOUluVzRONUtTd29SR28yX08zWTFWVlpmT2V4T05tekw3Z09pR1A1UE1ZY2dKMkZnUkh6Nl96Z0VhdkNMdw?oc=5
2023-01-11 08:00:00,American Red Cross Greater NY Rings the Nasdaq Stock Market Closing Bell to Mark National Blood Donor Month - American Red Cross,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxPTWpVZFFhcXExT3Q3N29wNWpGdk0zR25tUERmN0lkZ1FGS3pRdXpEQktZYkk3MTIxclZyZE9JMEZydEJXaGR3OGp4UHhpcmQzTnF1MnlfcXVxdGtKWHE4dHFJaFFtNndrYlRWTEwwUG1YQ1I5QW80NFYyUE84cXJ0dEhJWTVCY25vRndQWUwtVVQyRmdyUkFmT19ySWVUbTBYTlJqRFRvektobE9aR0gzSjZCT1V4NlFncUlTNjJGeDdGRFdkUUFLNVV4UVQyRllEa29oMWl0MXdCVkJVOG5qb2U3Q2NhcGd2dU9XaUZaOXR6RU1pN09Xb1FR?oc=5"" target=""_blank"">American Red Cross Greater NY Rings the Nasdaq Stock Market Closing Bell to Mark National Blood Donor Month</a>&nbsp;&nbsp;<font color=""#6f6f6f"">American Red Cross</font>",American Red Cross,https://news.google.com/rss/articles/CBMi-gFBVV95cUxPTWpVZFFhcXExT3Q3N29wNWpGdk0zR25tUERmN0lkZ1FGS3pRdXpEQktZYkk3MTIxclZyZE9JMEZydEJXaGR3OGp4UHhpcmQzTnF1MnlfcXVxdGtKWHE4dHFJaFFtNndrYlRWTEwwUG1YQ1I5QW80NFYyUE84cXJ0dEhJWTVCY25vRndQWUwtVVQyRmdyUkFmT19ySWVUbTBYTlJqRFRvektobE9aR0gzSjZCT1V4NlFncUlTNjJGeDdGRFdkUUFLNVV4UVQyRllEa29oMWl0MXdCVkJVOG5qb2U3Q2NhcGd2dU9XaUZaOXR6RU1pN09Xb1FR?oc=5
2023-01-10 08:00:00,Asia-Pacific markets trade mixed after Nasdaq extends gains backed by technology - CNBC,"<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxPWmxEalNJMFlHNXlPQTVGVmJvUzJKUkpobVpUWVNIaXNJa2FLVWdmdjgtNFVZd3NRcThDbVFuRzJOdGNVUlJYZVhRMU5kbEVEbWRjek5VZUlicHYycV82dVNxcUc2YUUwMFZWNk1HeFh4NlpBQWNBbjFyVi1qeGt0aFY1TkfSAYoBQVVfeXFMTTJtM1R0OTNPMVhEdjBpSVhIZ0NKaWlkZTNoMzF5aGdhNTlENXcyZWM5MDUzQkREZDU1LUFQdG9FUGFVVG15WDRRTXJ3LXk3U0VmNDR4QVdaR0JURVB4emZDSUtFLVBRY04tMi1tMHF0NEV5TjRmcFlBV1FzbTBWYmRIVXhSSF9BRDBB?oc=5"" target=""_blank"">Asia-Pacific markets trade mixed after Nasdaq extends gains backed by technology</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",CNBC,https://news.google.com/rss/articles/CBMihAFBVV95cUxPWmxEalNJMFlHNXlPQTVGVmJvUzJKUkpobVpUWVNIaXNJa2FLVWdmdjgtNFVZd3NRcThDbVFuRzJOdGNVUlJYZVhRMU5kbEVEbWRjek5VZUlicHYycV82dVNxcUc2YUUwMFZWNk1HeFh4NlpBQWNBbjFyVi1qeGt0aFY1TkfSAYoBQVVfeXFMTTJtM1R0OTNPMVhEdjBpSVhIZ0NKaWlkZTNoMzF5aGdhNTlENXcyZWM5MDUzQkREZDU1LUFQdG9FUGFVVG15WDRRTXJ3LXk3U0VmNDR4QVdaR0JURVB4emZDSUtFLVBRY04tMi1tMHF0NEV5TjRmcFlBV1FzbTBWYmRIVXhSSF9BRDBB?oc=5
2023-01-11 08:00:00,We Think Braze (NASDAQ:BRZE) Can Afford To Drive Business Growth - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMiggFBVV95cUxQeVJCTUoxWlY4a3VVb2NLb19CX1Z0NXJRVHU1MldfcjhwTnRldnJPUnE0Zk0ydEJyaF9xNmdpelJqR2t1Q0Z6a2FmV3A0bEJwRVZWWXZWWHlVTVU1SjRzMHpHZmU3OXJLd2d0N0hNakhHZjJEU25LakFKNzNpVXRndE53?oc=5"" target=""_blank"">We Think Braze (NASDAQ:BRZE) Can Afford To Drive Business Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance,https://news.google.com/rss/articles/CBMiggFBVV95cUxQeVJCTUoxWlY4a3VVb2NLb19CX1Z0NXJRVHU1MldfcjhwTnRldnJPUnE0Zk0ydEJyaF9xNmdpelJqR2t1Q0Z6a2FmV3A0bEJwRVZWWXZWWHlVTVU1SjRzMHpHZmU3OXJLd2d0N0hNakhHZjJEU25LakFKNzNpVXRndE53?oc=5
2023-01-10 08:00:00,Better Buy: Tesla vs. Amazon - Nasdaq,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE5sWjQxNjFOaHZ6TWRyUUZlQmNnVTAtZ3ItWG4wSDVVX3BWQzRfaHBhcVJfUVh2dzVXNmhfdHNEaFN4dTRPU0VicFdKcTZoSFg3SV9xbTRnOXRrVFBLbjluSVhVVERZS2dpejUyYQ?oc=5"" target=""_blank"">Better Buy: Tesla vs. Amazon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nasdaq</font>",Nasdaq,https://news.google.com/rss/articles/CBMibEFVX3lxTE5sWjQxNjFOaHZ6TWRyUUZlQmNnVTAtZ3ItWG4wSDVVX3BWQzRfaHBhcVJfUVh2dzVXNmhfdHNEaFN4dTRPU0VicFdKcTZoSFg3SV9xbTRnOXRrVFBLbjluSVhVVERZS2dpejUyYQ?oc=5
2023-01-11 08:00:00,Is Universal Display Corporation's (NASDAQ:OLED) Stock's Recent Performance Being Led By Its Attractive Financial Prospects? - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxOalc4VnJhRERvc1NlWTlVTUdCcjgtcFJrTWhiU2VaaW1VRGo4SDA4VEpKcm1HSnBwQW5zQUpCWHRXdXJjeG5DRkVsOUhaR2JUbklJWmg3MU85Q2tPX3VjQWViRDl4a1ladkZYZzZoZVcyQTA0am9RNHVDUDl5YmJUaURfNkozTURBbTNLb1V2TjloQQ?oc=5"" target=""_blank"">Is Universal Display Corporation's (NASDAQ:OLED) Stock's Recent Performance Being Led By Its Attractive Financial Prospects?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance,https://news.google.com/rss/articles/CBMikgFBVV95cUxOalc4VnJhRERvc1NlWTlVTUdCcjgtcFJrTWhiU2VaaW1VRGo4SDA4VEpKcm1HSnBwQW5zQUpCWHRXdXJjeG5DRkVsOUhaR2JUbklJWmg3MU85Q2tPX3VjQWViRDl4a1ladkZYZzZoZVcyQTA0am9RNHVDUDl5YmJUaURfNkozTURBbTNLb1V2TjloQQ?oc=5
2023-01-11 08:00:00,Where do Tech Giants Stand After a Wild COVID Ride? - Nasdaq,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxORUp5OERWYzY5anZDdXlRbVdRSGVVRDBkd1pBNDNnS25wOU1Bcy1GWDRlRXo5ZTlEZjdEaTY0ejIwOXJNZ01zTjhkbzUyTHNieTZ0NXVlakR3czJDQ1ZxWjN6M2Nhai1OUnFvaFFISlRzOUd0aWltT1BzMTVZX3czR0NUSTljMXNFX3c?oc=5"" target=""_blank"">Where do Tech Giants Stand After a Wild COVID Ride?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nasdaq</font>",Nasdaq,https://news.google.com/rss/articles/CBMiigFBVV95cUxORUp5OERWYzY5anZDdXlRbVdRSGVVRDBkd1pBNDNnS25wOU1Bcy1GWDRlRXo5ZTlEZjdEaTY0ejIwOXJNZ01zTjhkbzUyTHNieTZ0NXVlakR3czJDQ1ZxWjN6M2Nhai1OUnFvaFFISlRzOUd0aWltT1BzMTVZX3czR0NUSTljMXNFX3c?oc=5
2023-01-10 08:00:00,T-Mobile Just Had a Great Fourth Quarter. Here's What's Next. - Nasdaq,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPRWEwdktMY0Y5eEFEUVNiMk04MzA4V1hOVkNQQnBqYnlKWFdYVTQxR01jNm5BTnZvcTR1QjRLUUF2cGI3VElSQk9pSDZwZVVmY0w2aXpERzdFTkt3QXNLbDFMelV2czVpS1ZVakh1NnZ6SDdjVzFUdVFnUkFXdHFQbmhWQzktUGVqbzJnRlZNeUF0Vlc0bHc?oc=5"" target=""_blank"">T-Mobile Just Had a Great Fourth Quarter. Here's What's Next.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nasdaq</font>",Nasdaq,https://news.google.com/rss/articles/CBMilgFBVV95cUxPRWEwdktMY0Y5eEFEUVNiMk04MzA4V1hOVkNQQnBqYnlKWFdYVTQxR01jNm5BTnZvcTR1QjRLUUF2cGI3VElSQk9pSDZwZVVmY0w2aXpERzdFTkt3QXNLbDFMelV2czVpS1ZVakh1NnZ6SDdjVzFUdVFnUkFXdHFQbmhWQzktUGVqbzJnRlZNeUF0Vlc0bHc?oc=5
2023-01-10 08:00:00,Will Pinterest Stock Hit $100 in 2023? - Nasdaq,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTFBMRVc4TlM5WGcya3pmT2NhZWNYVHl2a0R5UUZNSmE3bkNueXhnbzV1STNSbGlmMTkzT21PZVo1TUFUOTBUd2xfZ3U5UTBsVFdSa0dKTVBCM3hlUFMxd1NHdjJKWWZkaExBNDNRX3hZWkNCaVZyclp5Mw?oc=5"" target=""_blank"">Will Pinterest Stock Hit $100 in 2023?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nasdaq</font>",Nasdaq,https://news.google.com/rss/articles/CBMieEFVX3lxTFBMRVc4TlM5WGcya3pmT2NhZWNYVHl2a0R5UUZNSmE3bkNueXhnbzV1STNSbGlmMTkzT21PZVo1TUFUOTBUd2xfZ3U5UTBsVFdSa0dKTVBCM3hlUFMxd1NHdjJKWWZkaExBNDNRX3hZWkNCaVZyclp5Mw?oc=5
