發佈時間,標題,描述,來源,連結
2023-07-10 07:00:00,Donald Trump is lying about the Presidential Records Act - Citizens for Responsibility and Ethics in Washington,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxNdHlrNFNVZzkwTFpfMTFvSWNrQmdNaGNTaGZ6ajFFRGdxMUJoc0RIbXRJYUZOc05ndm1wTmc5Q21DbXUxb2lOTmgxTHpMNGJ3ZXdoWHdWVnI2TE45eUNfRnNxOUtYSzFKTUxzcEFoWXFMNmNOZ0o3S1JfVV9NZE5LYTRrVVczRWZ1ZDZvclhQSV9XVkNvc1FuWGdOUm8zRHhwMFRlb3ZmY0E?oc=5"" target=""_blank"">Donald Trump is lying about the Presidential Records Act</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Citizens for Responsibility and Ethics in Washington</font>",Citizens for Responsibility and Ethics in Washington,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNdHlrNFNVZzkwTFpfMTFvSWNrQmdNaGNTaGZ6ajFFRGdxMUJoc0RIbXRJYUZOc05ndm1wTmc5Q21DbXUxb2lOTmgxTHpMNGJ3ZXdoWHdWVnI2TE45eUNfRnNxOUtYSzFKTUxzcEFoWXFMNmNOZ0o3S1JfVV9NZE5LYTRrVVczRWZ1ZDZvclhQSV9XVkNvc1FuWGdOUm8zRHhwMFRlb3ZmY0E?oc=5
2023-07-10 07:00:00,GOP presidential candidates jump to defend Iowa governor from Trump’s criticism over remaining neutral - CNN,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxPYWVXSlZRY1pLSXZtZHU5ZlRCSTF1eERmRjM0WUIzcDJRN1VYeVJKX2M1cnp4Q0hKOThQcS11b2tadXNWM3lxU0ZtREZYQVRfTTVNcHBmM1NqbDN2ME1uc2s2UjRtZmZJZEJQaXA5STFXX2ZwdFplRGljWS1TbEZjQ2lRZ3BpZHZCTENqZXUxanlvN0pDLWhpedIBjwFBVV95cUxPV2VDZGIwdXlCNk1PaFFPdHRKRXdSaWhKaWNTaHFhV3k5WlRGOW9DU0JuQ3g2UGtXUzlRZlRaMll5cGFCUV82ZEZtRWw5MWlsazZ1U2pSb1ZMemZlU1lheXpJajhoQjM3LWE2b3VoQ1BSSlk4cThIaVZiNW9JS3Nvb0lTMnh0b0pDZHAtTFVoUQ?oc=5"" target=""_blank"">GOP presidential candidates jump to defend Iowa governor from Trump’s criticism over remaining neutral</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",CNN,https://news.google.com/rss/articles/CBMimAFBVV95cUxPYWVXSlZRY1pLSXZtZHU5ZlRCSTF1eERmRjM0WUIzcDJRN1VYeVJKX2M1cnp4Q0hKOThQcS11b2tadXNWM3lxU0ZtREZYQVRfTTVNcHBmM1NqbDN2ME1uc2s2UjRtZmZJZEJQaXA5STFXX2ZwdFplRGljWS1TbEZjQ2lRZ3BpZHZCTENqZXUxanlvN0pDLWhpedIBjwFBVV95cUxPV2VDZGIwdXlCNk1PaFFPdHRKRXdSaWhKaWNTaHFhV3k5WlRGOW9DU0JuQ3g2UGtXUzlRZlRaMll5cGFCUV82ZEZtRWw5MWlsazZ1U2pSb1ZMemZlU1lheXpJajhoQjM3LWE2b3VoQ1BSSlk4cThIaVZiNW9JS3Nvb0lTMnh0b0pDZHAtTFVoUQ?oc=5
2023-07-10 07:00:00,How Biden Is Trying to Undo Trump's Damage to the Hatch Act - TIME,"<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTFBUTzRBRjhvSy1pOEJpWEZ5NktQcjlaV2hkSE5tSEV4SkI2RXNka1pMRG1uRkdIUjc3Nko0ZV85N25SbGsyVi1QdFJ5U0hHR0FyRVhneklkR185U000VXZULUM2NVFKRnd2TUE0ak9fQXZ2Y1Uz?oc=5"" target=""_blank"">How Biden Is Trying to Undo Trump's Damage to the Hatch Act</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TIME</font>",TIME,https://news.google.com/rss/articles/CBMidEFVX3lxTFBUTzRBRjhvSy1pOEJpWEZ5NktQcjlaV2hkSE5tSEV4SkI2RXNka1pMRG1uRkdIUjc3Nko0ZV85N25SbGsyVi1QdFJ5U0hHR0FyRVhneklkR185U000VXZULUM2NVFKRnd2TUE0ak9fQXZ2Y1Uz?oc=5
2023-07-10 07:00:00,Trump’s Former Justice Department Officials Fear a Second Term - New York Magazine,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxPdGpqbE9zQ2VaZU9PaXVwWFBBTkpRQV9RemJwMklIaWlORzkzQWVmcnJDODd3VUZvcWlTYkR4bkV4bk96SzNsNkItZ25EZ2pBbVZTMXdpSWszMWZDWkFDdkNlY3ljeDRlT1BUZ3AwOVp2VkwzUlo5SG1qLXNmWFRBbk9tY3R4TFpja2tLUTRhWFNhRmliRUltZkY5dXpDUFNXQkpNdQ?oc=5"" target=""_blank"">Trump’s Former Justice Department Officials Fear a Second Term</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Magazine</font>",New York Magazine,https://news.google.com/rss/articles/CBMipAFBVV95cUxPdGpqbE9zQ2VaZU9PaXVwWFBBTkpRQV9RemJwMklIaWlORzkzQWVmcnJDODd3VUZvcWlTYkR4bkV4bk96SzNsNkItZ25EZ2pBbVZTMXdpSWszMWZDWkFDdkNlY3ljeDRlT1BUZ3AwOVp2VkwzUlo5SG1qLXNmWFRBbk9tY3R4TFpja2tLUTRhWFNhRmliRUltZkY5dXpDUFNXQkpNdQ?oc=5
2023-07-10 07:00:00,"Trump seeks lengthy delay of classified docs trial, citing upcoming election - ABC News","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQMUJKdkNhUnlWVC0zNlN0TUt2dERabW9mV3lySkxuNzVjeEk3dHFCcktEZ0dVakRjU2xOdWswbElUZUQ3eDNGM0t2YTB2eFlQOGFLdDVDTS1WclRteFdhSXRHSkY3ZnFLSnctc0tJekhsd05fX3hHZDdaMDJlZURyS3EzRnRWVWZzbUVjWVZxMTB2NFVNdFUxeWNEZlRFSU5t0gGmAUFVX3lxTFBoNUlUUmFEbndabW44RHhMM2hvY3JuN1ZyNnB4VDlTWGlBX19NaDVYUkg4LXFTTG5hV2xsM2llZzA3cUNleUZ1dmMtY2xEaDJfUTQ2VEdMUTdtRmVSbzRveDVfR1ctaGpGZ2NXc2tRblBvWGZya3lieFhsTnE2b2hJWWhFMFg2WjhpNkt4NGVVZDQ0MjlFcWt3SUxKUXVGckhINDJ4Vnc?oc=5"" target=""_blank"">Trump seeks lengthy delay of classified docs trial, citing upcoming election</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC News</font>",ABC News,https://news.google.com/rss/articles/CBMioAFBVV95cUxQMUJKdkNhUnlWVC0zNlN0TUt2dERabW9mV3lySkxuNzVjeEk3dHFCcktEZ0dVakRjU2xOdWswbElUZUQ3eDNGM0t2YTB2eFlQOGFLdDVDTS1WclRteFdhSXRHSkY3ZnFLSnctc0tJekhsd05fX3hHZDdaMDJlZURyS3EzRnRWVWZzbUVjWVZxMTB2NFVNdFUxeWNEZlRFSU5t0gGmAUFVX3lxTFBoNUlUUmFEbndabW44RHhMM2hvY3JuN1ZyNnB4VDlTWGlBX19NaDVYUkg4LXFTTG5hV2xsM2llZzA3cUNleUZ1dmMtY2xEaDJfUTQ2VEdMUTdtRmVSbzRveDVfR1ctaGpGZ2NXc2tRblBvWGZya3lieFhsTnE2b2hJWWhFMFg2WjhpNkt4NGVVZDQ0MjlFcWt3SUxKUXVGckhINDJ4Vnc?oc=5
2023-07-10 07:00:00,A grand jury sworn in Tuesday could decide whether Trump is charged over Georgia's 2020 election - The Associated Press,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxOTERHaXhTT2tIbFB3S1NIeENGSGRoX1FpRmxsZXpyU2I0WEc2TmFZUHBoUzJaa21zRlNDT3RXRnNQbXJRT1hFOGEwQWZUajFKQkI2dTh6bnpGOEpCUjVaQ0hNRDFqTFBTSExhUjBBeHlwcnZ1OEZuUTB3RnJuZWRBR29ZSnpPa3FTT3NzT0FzbXVkdkU5c05XNm9WTUU5XzV0WDdMWHBsVk5WRGc?oc=5"" target=""_blank"">A grand jury sworn in Tuesday could decide whether Trump is charged over Georgia's 2020 election</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Associated Press</font>",The Associated Press,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOTERHaXhTT2tIbFB3S1NIeENGSGRoX1FpRmxsZXpyU2I0WEc2TmFZUHBoUzJaa21zRlNDT3RXRnNQbXJRT1hFOGEwQWZUajFKQkI2dTh6bnpGOEpCUjVaQ0hNRDFqTFBTSExhUjBBeHlwcnZ1OEZuUTB3RnJuZWRBR29ZSnpPa3FTT3NzT0FzbXVkdkU5c05XNm9WTUU5XzV0WDdMWHBsVk5WRGc?oc=5
2023-07-10 07:00:00,"Trump’s North Korea Threats Made Officials ‘Terrified’ U.S. Would Face Nuclear Attack, Ex-Staffer Reportedly Says - Forbes","<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxPYnBoQlM4UEpaRlkwSlpMcjMzMnA3NlZ1S21hMTFRX3I5NVp3QzNYd0xqNHZsellyaFVETzZQTmhaWnZidlJIQkQxWmNTQUVwcW9ndlZMcV9jRzFiRU11TDVoT0loeUFnSWVFR2RXZVFqLUFxdExndFNELU1DTWJVaWVjRjdvaDRlREZ2b09ycGZmQXY4WndJREJVbjBqb21BOEg0SmtGMWxxMEF3eGlvcFlIS0w4QUFTWXRiTnB1bUZiTmgwVHNocU91SzlQbmxaal9OeWk0el9UX1hiN3F1SmN1YmZVOUxBcERubk01RF9ubnc?oc=5"" target=""_blank"">Trump’s North Korea Threats Made Officials ‘Terrified’ U.S. Would Face Nuclear Attack, Ex-Staffer Reportedly Says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font>",Forbes,https://news.google.com/rss/articles/CBMi8wFBVV95cUxPYnBoQlM4UEpaRlkwSlpMcjMzMnA3NlZ1S21hMTFRX3I5NVp3QzNYd0xqNHZsellyaFVETzZQTmhaWnZidlJIQkQxWmNTQUVwcW9ndlZMcV9jRzFiRU11TDVoT0loeUFnSWVFR2RXZVFqLUFxdExndFNELU1DTWJVaWVjRjdvaDRlREZ2b09ycGZmQXY4WndJREJVbjBqb21BOEg0SmtGMWxxMEF3eGlvcFlIS0w4QUFTWXRiTnB1bUZiTmgwVHNocU91SzlQbmxaal9OeWk0el9UX1hiN3F1SmN1YmZVOUxBcERubk01RF9ubnc?oc=5
2023-07-10 07:00:00,"Donald Trump is just a smaller, weaker Richard Nixon - The Hill","<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxOVmlwcE9qX1lWSU1Vd0dwMkpnTUZkdndtczBReXhjcmZvMTVnQnlaSzd4SFlaaUtwNDZDYUlGLTMxZ3RQRW1fc2xLT3hpbDc4dk91LVhEaUhwb0Q0eXF3eFFRQXdWRkY4aXBBWUstdDA0dF9wNzVVSTdXM2Y2THZXQkRvanRWdGs0b3h5QmtETG03Y1lvZVZiVlZvbVgyQdIBowFBVV95cUxOX21aYlZRWS1WOVpYT3lOdWdITlpoOS1sYmk0Yk9uWFRZNmZSWUdTRV90ejRDZC1QdGJraFU3dEM1ZW5SRmR0cTNqMmc5WklWSDVQbnZoMHNGcjN3Z3FtbFV4cy1uUktON182RUpLXzhmQVI3QXFZWGRqcE8tVUlDOFFJNF9peC11bGMwelBGZlVDZ082Y2FwMEF0eTVHTnlJREhj?oc=5"" target=""_blank"">Donald Trump is just a smaller, weaker Richard Nixon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hill</font>",The Hill,https://news.google.com/rss/articles/CBMingFBVV95cUxOVmlwcE9qX1lWSU1Vd0dwMkpnTUZkdndtczBReXhjcmZvMTVnQnlaSzd4SFlaaUtwNDZDYUlGLTMxZ3RQRW1fc2xLT3hpbDc4dk91LVhEaUhwb0Q0eXF3eFFRQXdWRkY4aXBBWUstdDA0dF9wNzVVSTdXM2Y2THZXQkRvanRWdGs0b3h5QmtETG03Y1lvZVZiVlZvbVgyQdIBowFBVV95cUxOX21aYlZRWS1WOVpYT3lOdWdITlpoOS1sYmk0Yk9uWFRZNmZSWUdTRV90ejRDZC1QdGJraFU3dEM1ZW5SRmR0cTNqMmc5WklWSDVQbnZoMHNGcjN3Z3FtbFV4cy1uUktON182RUpLXzhmQVI3QXFZWGRqcE8tVUlDOFFJNF9peC11bGMwelBGZlVDZ082Y2FwMEF0eTVHTnlJREhj?oc=5
2023-07-10 07:00:00,LIV championship moved to Trump National Doral - ESPN,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxQZVRTWnRUSTVTQllNNmY2MGwyakFTVElzckFiU2hPYWdaUldpcWpDYXFNcVRPOE9nbnZsTFVrNDZ4a0xnOVdQV24wZ1JERzEwZG9OcWpSMlItdlFKLUw2NUVLV1htdnd2RlFqeFZkZHNnUHZGXzZ0VnpvNmlHd3A0bVJXS1RJWjZjNTdQbGxiXzBVbGc?oc=5"" target=""_blank"">LIV championship moved to Trump National Doral</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ESPN</font>",ESPN,https://news.google.com/rss/articles/CBMikwFBVV95cUxQZVRTWnRUSTVTQllNNmY2MGwyakFTVElzckFiU2hPYWdaUldpcWpDYXFNcVRPOE9nbnZsTFVrNDZ4a0xnOVdQV24wZ1JERzEwZG9OcWpSMlItdlFKLUw2NUVLV1htdnd2RlFqeFZkZHNnUHZGXzZ0VnpvNmlHd3A0bVJXS1RJWjZjNTdQbGxiXzBVbGc?oc=5
2023-07-10 07:00:00,Trump seemingly baffled by 'blizzards' during Dairy Queen campaign stop - CNN,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxQS0x3a0NPS3JIUnpoNGREcVZ4dnNEQmpERWlFX0hQeTJXQy0yaHdxcEJjdGRIVkdkNjZ6dXdkMm9IY1I0MjVRVUZqalE2VXNnT3VLVjZubmIwMURIdndGbzFTaHlGbGJnTTNZaGZkZEtpX0xFZ0NOeFc3Nk9ZQk9FeWUyeGlBWENXY0FOdzltd2xjcW5xcm1QU19qREd2OFJkZlE?oc=5"" target=""_blank"">Trump seemingly baffled by 'blizzards' during Dairy Queen campaign stop</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",CNN,https://news.google.com/rss/articles/CBMiogFBVV95cUxQS0x3a0NPS3JIUnpoNGREcVZ4dnNEQmpERWlFX0hQeTJXQy0yaHdxcEJjdGRIVkdkNjZ6dXdkMm9IY1I0MjVRVUZqalE2VXNnT3VLVjZubmIwMURIdndGbzFTaHlGbGJnTTNZaGZkZEtpX0xFZ0NOeFc3Nk9ZQk9FeWUyeGlBWENXY0FOdzltd2xjcW5xcm1QU19qREd2OFJkZlE?oc=5
