發佈時間,標題,描述,來源,連結
2023-05-17 07:00:00,Japan's Rapidus shares views on TSMC competition and 2nm progress - DIGITIMES,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTFB6aWk1U082X0ZVdTljVGFGanc4WDlOVlJTWkRaeHBkSUFQT1dIWVNrcUJ2cURzallmdXZWam92UnhTaEpvRGU3cUlrZU9aYVdCUW5LT3ZxTWFiOEdNT1BheHktZVR1ejJ0TDJCbFRzdTZIVFZDVllyMQ?oc=5"" target=""_blank"">Japan's Rapidus shares views on TSMC competition and 2nm progress</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DIGITIMES</font>",DIGITIMES,https://news.google.com/rss/articles/CBMieEFVX3lxTFB6aWk1U082X0ZVdTljVGFGanc4WDlOVlJTWkRaeHBkSUFQT1dIWVNrcUJ2cURzallmdXZWam92UnhTaEpvRGU3cUlrZU9aYVdCUW5LT3ZxTWFiOEdNT1BheHktZVR1ejJ0TDJCbFRzdTZIVFZDVllyMQ?oc=5
2023-05-18 07:00:00,"GlobalFoundries, Samsung Electronics, TSMC join sustainable semiconductors programme - gasworld","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNU0FGZ0ZRQURTT0RMVTVlVjViaVR4ZzRTTlI0SW9fOGVBY2hRc3NCcVpDWkJoQ0dfeVVpNVJ1ZFctRUNCVE5oQnVEci1QdmpuclFkTmNvOVlJQk1tbmZPdHB4cEw5QWxSSDJVLTZiV3RDLTNNSmxqLV9ncXdtX1RTQ3hiRW0ybVpWUExaQlJuS2cxS1ozaGlJQVdDLUd2VjJlWjBJd2wxQ3JpSF9INW95bC1KajI?oc=5"" target=""_blank"">GlobalFoundries, Samsung Electronics, TSMC join sustainable semiconductors programme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">gasworld</font>",gasworld,https://news.google.com/rss/articles/CBMitAFBVV95cUxNU0FGZ0ZRQURTT0RMVTVlVjViaVR4ZzRTTlI0SW9fOGVBY2hRc3NCcVpDWkJoQ0dfeVVpNVJ1ZFctRUNCVE5oQnVEci1QdmpuclFkTmNvOVlJQk1tbmZPdHB4cEw5QWxSSDJVLTZiV3RDLTNNSmxqLV9ncXdtX1RTQ3hiRW0ybVpWUExaQlJuS2cxS1ozaGlJQVdDLUd2VjJlWjBJd2wxQ3JpSF9INW95bC1KajI?oc=5
2023-05-17 07:00:00,"Startup Gradiant Reaches Billion-Dollar Valuation Cleaning Up Wastewater For TSMC, Coca-Cola And Pfizer - Forbes","<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxNcmdPSlNndkgxMmVlSkg5SHkwd0R1bURJZHJlTW81Qmx1TFM4dTRkbk9Jck1FRW9icGNVd3hLdmdWeXE5T0ZTYnlfbVA2REpvNXZ0b3RXcXFlQVFuX2V2YWJIckxTcGIwbTJHakpJNHRWZnNZQldQdGp3a3NKWjRrSXdfZ1FTckhzSEtpUlZZdTBiMkhYZlRUdjRWZnc0bXFoMFJYc3BLMk5veWt4d1JXNldSOFVZa19sRE5PdzJwVjF2WUdSVy1mM2NodzdCNGtHMFZRMlJxQ0gwc0dyMk4xbjBJSDdweDhfcnc?oc=5"" target=""_blank"">Startup Gradiant Reaches Billion-Dollar Valuation Cleaning Up Wastewater For TSMC, Coca-Cola And Pfizer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font>",Forbes,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNcmdPSlNndkgxMmVlSkg5SHkwd0R1bURJZHJlTW81Qmx1TFM4dTRkbk9Jck1FRW9icGNVd3hLdmdWeXE5T0ZTYnlfbVA2REpvNXZ0b3RXcXFlQVFuX2V2YWJIckxTcGIwbTJHakpJNHRWZnNZQldQdGp3a3NKWjRrSXdfZ1FTckhzSEtpUlZZdTBiMkhYZlRUdjRWZnc0bXFoMFJYc3BLMk5veWt4d1JXNldSOFVZa19sRE5PdzJwVjF2WUdSVy1mM2NodzdCNGtHMFZRMlJxQ0gwc0dyMk4xbjBJSDdweDhfcnc?oc=5
2023-05-18 07:00:00,Micron expected to get US$1.5 billion from Japan for next-gen chips - South China Morning Post,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNdjlnT1F3a2Z6bFJZY3c5d3dFTFV0dmNmZm5Hai1udnMtT3AzWFBzeFV0dFdtTVFqUnFvcU0wNTZYR1Z3d2xHU0Vsbi1CeDJDUDFjVmhYM0ZVWXF3aXVUR09mZTZvcnBQZzhDS3hZeFZBajh4SjFaYkFJeDFNYWh1emNyaEVEOS1SbkNSeHVFbllOdzZySlNSTThiWHViS3dlZjBXb2Zfd1lJSmVvUFdkRkZPNVRZVlZhMUFCb0h2X2ZHRWI1ZXVWTFpDZnhFVUdzOFVGR3ZuX29KTk530gHcAUFVX3lxTE1pakVxSlJVdFEzUjJNelR3T0FGNzVmUGYzS1dDMEtya0ktdnU4NmVLV3FLb21hUmFybUxNOXE4ZlpBUGNtYmh3MEI5TEw3UUFGaFVFZUVzLWExSGtUTTRmcHQ4UWdVX2xQTTRYbWhWNWw5NXVHcFJpWDdpdEtaZTM4Q1NBbTlSUkg0QUNzX0VQWmlhcGJZRzdFQkJYRjFzY25tT1hoVFpZemhaUHh6U3ZxTFFDWk5PRkVFQk54SUlLOXRxTFVXNlRNUFJTRnFLeDQwYURreVozZVV6RWs?oc=5"" target=""_blank"">Micron expected to get US$1.5 billion from Japan for next-gen chips</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South China Morning Post</font>",South China Morning Post,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNdjlnT1F3a2Z6bFJZY3c5d3dFTFV0dmNmZm5Hai1udnMtT3AzWFBzeFV0dFdtTVFqUnFvcU0wNTZYR1Z3d2xHU0Vsbi1CeDJDUDFjVmhYM0ZVWXF3aXVUR09mZTZvcnBQZzhDS3hZeFZBajh4SjFaYkFJeDFNYWh1emNyaEVEOS1SbkNSeHVFbllOdzZySlNSTThiWHViS3dlZjBXb2Zfd1lJSmVvUFdkRkZPNVRZVlZhMUFCb0h2X2ZHRWI1ZXVWTFpDZnhFVUdzOFVGR3ZuX29KTk530gHcAUFVX3lxTE1pakVxSlJVdFEzUjJNelR3T0FGNzVmUGYzS1dDMEtya0ktdnU4NmVLV3FLb21hUmFybUxNOXE4ZlpBUGNtYmh3MEI5TEw3UUFGaFVFZUVzLWExSGtUTTRmcHQ4UWdVX2xQTTRYbWhWNWw5NXVHcFJpWDdpdEtaZTM4Q1NBbTlSUkg0QUNzX0VQWmlhcGJZRzdFQkJYRjFzY25tT1hoVFpZemhaUHh6U3ZxTFFDWk5PRkVFQk54SUlLOXRxTFVXNlRNUFJTRnFLeDQwYURreVozZVV6RWs?oc=5
2023-05-17 07:00:00,Mintz Represents Gradiant In $225 Million Series D Financing - Mintz,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxPSm5FLTJycHF4My1KcnF5ZjRXa3JtSlowZ0czSVRmMlgzMmdPazMxSW5KTnp6YWpSUFR5aUFPeWlxeTVtdTN6cjNqU2I0V29mZThVSlNxWndxTDhJaVRSUlkzaGhOVF9TZFlLeFhzVXEzalg4cW9LQVVpMjJhbmFhZzhjNGNVeHREYnlNV3ZlLXY2QTJtdVhqSldzeGFtaHhQdGNuYWpoQ2c?oc=5"" target=""_blank"">Mintz Represents Gradiant In $225 Million Series D Financing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mintz</font>",Mintz,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPSm5FLTJycHF4My1KcnF5ZjRXa3JtSlowZ0czSVRmMlgzMmdPazMxSW5KTnp6YWpSUFR5aUFPeWlxeTVtdTN6cjNqU2I0V29mZThVSlNxWndxTDhJaVRSUlkzaGhOVF9TZFlLeFhzVXEzalg4cW9LQVVpMjJhbmFhZzhjNGNVeHREYnlNV3ZlLXY2QTJtdVhqSldzeGFtaHhQdGNuYWpoQ2c?oc=5
2023-05-18 07:00:00,"Nvidia Reveals RTX 4060 Ti, 4060 with Prices Starting at $299 - Tom's Hardware","<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE1pWG14SFdzTG4zWVd6c2QtaEFuVDFIejIzNWQ4M3h6UGtHblpIYzJxdkVyMjM4dVhyazlQYnJkVGlvQWo0Rm5qYmdhNlVXaVJpOUpUUTBvOV9wRU1PRDVrTHJFUkF4d3Y2MWczbk9ablgzYTNhWlI5TUNqbw?oc=5"" target=""_blank"">Nvidia Reveals RTX 4060 Ti, 4060 with Prices Starting at $299</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tom's Hardware</font>",Tom's Hardware,https://news.google.com/rss/articles/CBMie0FVX3lxTE1pWG14SFdzTG4zWVd6c2QtaEFuVDFIejIzNWQ4M3h6UGtHblpIYzJxdkVyMjM4dVhyazlQYnJkVGlvQWo0Rm5qYmdhNlVXaVJpOUpUUTBvOV9wRU1PRDVrTHJFUkF4d3Y2MWczbk9ablgzYTNhWlI5TUNqbw?oc=5
2023-05-18 07:00:00,"As Chip Shortage Wanes, Price & Capacity Wars Begin - EE Times","<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE9WSDVPODJPWnNBSFZzY1U1Z29neFZyNnhfTTZGWFN5eWtoOUJRRldYUUZQTGRmWk9QYlhTS3FuYVA2MG4tT0ZnakFaTy1ZRnVVU3J3cVdQRFcxYTUtZXA5QTUycWs2SzdnZjIxMlhwcm5SZ2NNMGthbjMyODlMQQ?oc=5"" target=""_blank"">As Chip Shortage Wanes, Price & Capacity Wars Begin</a>&nbsp;&nbsp;<font color=""#6f6f6f"">EE Times</font>",EE Times,https://news.google.com/rss/articles/CBMifkFVX3lxTE9WSDVPODJPWnNBSFZzY1U1Z29neFZyNnhfTTZGWFN5eWtoOUJRRldYUUZQTGRmWk9QYlhTS3FuYVA2MG4tT0ZnakFaTy1ZRnVVU3J3cVdQRFcxYTUtZXA5QTUycWs2SzdnZjIxMlhwcm5SZ2NNMGthbjMyODlMQQ?oc=5
2023-05-18 07:00:00,Snapdragon 8 Gen 4 for Galaxy could be manufactured on Samsung's 3GAP node; regular version to use TSMC N3E - Notebookcheck.net,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxOQy1hWUl3SkwxV3pqaW1ZZ1c3Vy13VUd4Z0JtUk1PM3lhTFBNMTV5ZGx0THcxamdFZUluTjVsaTJvLXcxQjlBcEwtNVNlcU5ocVRiT0JveGxGemVqZEJxN0w5dmVlQjBPVlkzM2JSZkFEalV5eDhPankxM0huVjRET3lvdXZERjdFT0o0UEx1akdEVlBtaXZJVjZWZDBJdC0wT3p4c2RBWUxhM05ibXNLQ1lxclFFdFBJUEJmcFlnWUFmV2hDelpZNS1TOVhIcFJDVzdpN2RqWkliNjhMcWV5NlhhS3M?oc=5"" target=""_blank"">Snapdragon 8 Gen 4 for Galaxy could be manufactured on Samsung's 3GAP node; regular version to use TSMC N3E</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Notebookcheck.net</font>",Notebookcheck.net,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOQy1hWUl3SkwxV3pqaW1ZZ1c3Vy13VUd4Z0JtUk1PM3lhTFBNMTV5ZGx0THcxamdFZUluTjVsaTJvLXcxQjlBcEwtNVNlcU5ocVRiT0JveGxGemVqZEJxN0w5dmVlQjBPVlkzM2JSZkFEalV5eDhPankxM0huVjRET3lvdXZERjdFT0o0UEx1akdEVlBtaXZJVjZWZDBJdC0wT3p4c2RBWUxhM05ibXNLQ1lxclFFdFBJUEJmcFlnWUFmV2hDelpZNS1TOVhIcFJDVzdpN2RqWkliNjhMcWV5NlhhS3M?oc=5
2023-05-17 07:00:00,"NXP, TSMC to deliver automotive 16nm FinFET embedded MRAM - DIGITIMES","<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxPUXhsRjJEa0E4U0IwYUFlTFdIMDAtVVZMS1BQYXp4aDk3V2x2ZUlNNkRzME5pa0RGemVFMGc2OENHMXFGUnBMVUFVaVc0aWk0LVBCcV9nWG02b0lxSkhXQWxGUHpYM08wTjhrNFBUZmUwQnFMbGhLUVUxOTNKaUZqRGpSRmJtcnVOenhFSEZBSXNaaXNabDEyYWg4cW9XeVNNcllVRQ?oc=5"" target=""_blank"">NXP, TSMC to deliver automotive 16nm FinFET embedded MRAM</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DIGITIMES</font>",DIGITIMES,https://news.google.com/rss/articles/CBMipAFBVV95cUxPUXhsRjJEa0E4U0IwYUFlTFdIMDAtVVZMS1BQYXp4aDk3V2x2ZUlNNkRzME5pa0RGemVFMGc2OENHMXFGUnBMVUFVaVc0aWk0LVBCcV9nWG02b0lxSkhXQWxGUHpYM08wTjhrNFBUZmUwQnFMbGhLUVUxOTNKaUZqRGpSRmJtcnVOenhFSEZBSXNaaXNabDEyYWg4cW9XeVNNcllVRQ?oc=5
2023-05-17 07:00:00,Apple Boxes Out Rivals By Hoarding TSMC 3nm Chips - ChannelNews,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxPXzVaQUFYRFNNM0M2cGpWN0xzY2dxbDJkM3VaazNEUE4wVE9LYVJnb0xJczc4LV92OEVuOVFxdmpPN0tZcXRNWUJqOTF5XzlDWVdEVWlhU1pLNEdvc2tzRjRUNHdRMWpNTThMb3Y4d3NxMXJWd3dWWEpISGVHSkZFNmxwSTRFT19x?oc=5"" target=""_blank"">Apple Boxes Out Rivals By Hoarding TSMC 3nm Chips</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ChannelNews</font>",ChannelNews,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPXzVaQUFYRFNNM0M2cGpWN0xzY2dxbDJkM3VaazNEUE4wVE9LYVJnb0xJczc4LV92OEVuOVFxdmpPN0tZcXRNWUJqOTF5XzlDWVdEVWlhU1pLNEdvc2tzRjRUNHdRMWpNTThMb3Y4d3NxMXJWd3dWWEpISGVHSkZFNmxwSTRFT19x?oc=5
