發佈時間,標題,描述,來源,連結
2023-06-08 07:00:00,"TSMC Announces the Opening of Advanced Backend Fab 6, Marking a Milestone in the Expansion of 3DFabric™ System Integration Technology - Taiwan Semiconductor","<a href=""https://news.google.com/rss/articles/CBMiTkFVX3lxTE1jR2J1ZVJaRHNmVVZZR0pVbk5QWHdiZ2FrSjkzZkJvVmVtaXR4U1NHNDk4SGxsWWZBZmc1LUJEOUxZbXBEZHJybE00bWl1UQ?oc=5"" target=""_blank"">TSMC Announces the Opening of Advanced Backend Fab 6, Marking a Milestone in the Expansion of 3DFabric™ System Integration Technology</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Taiwan Semiconductor</font>",Taiwan Semiconductor,https://news.google.com/rss/articles/CBMiTkFVX3lxTE1jR2J1ZVJaRHNmVVZZR0pVbk5QWHdiZ2FrSjkzZkJvVmVtaXR4U1NHNDk4SGxsWWZBZmc1LUJEOUxZbXBEZHJybE00bWl1UQ?oc=5
2023-06-09 07:00:00,TSMC Opens Advanced Backend Packaging Fab for AI and HPC Products - AnandTech,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQbFR2aFZYMDUzYXppQWNtcVA3UldTNS1ZeFdMTHo3QXRSN1ktV0tGX2tpblBILU1RTWVjcG1QOUJjbl9scUFzekN6WmpNUkVpNzFHOWxGWTlZclVWcFc0bDlVVEM1QUpPU054R3hXTFNhMW1XQk9JNUFuY1ZzcjJtcEJCWFNnaXlZWEhESnA4WUpMR1Y0YnBBSnk4WDRhak50X2Rqag?oc=5"" target=""_blank"">TSMC Opens Advanced Backend Packaging Fab for AI and HPC Products</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AnandTech</font>",AnandTech,https://news.google.com/rss/articles/CBMipAFBVV95cUxQbFR2aFZYMDUzYXppQWNtcVA3UldTNS1ZeFdMTHo3QXRSN1ktV0tGX2tpblBILU1RTWVjcG1QOUJjbl9scUFzekN6WmpNUkVpNzFHOWxGWTlZclVWcFc0bDlVVEM1QUpPU054R3hXTFNhMW1XQk9JNUFuY1ZzcjJtcEJCWFNnaXlZWEhESnA4WUpMR1Y0YnBBSnk4WDRhak50X2Rqag?oc=5
2023-06-08 07:00:00,TSMC Exec Says Workers Unwilling to Take Shifts Should Not Enter Chipmaking Industry - Tom's Hardware,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxQSlhnWGxJSGszTVJwTkk3NDhobmxsSldYemNDNGZBc0FEaUEweWhnOEp1V2pnUmoyWGdNc2hfNVVSSVJpaTFSMTFwSnRFWE1wU1ViUFo0ck1UMHF6R0ZhSjYzczB3bm1PaFVIMFVtYnRlcEZCMVVCOHcxVDFhUFRKYzQzSHBCQTQ5MDZwR2hKcW9GMUxOMXFn?oc=5"" target=""_blank"">TSMC Exec Says Workers Unwilling to Take Shifts Should Not Enter Chipmaking Industry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tom's Hardware</font>",Tom's Hardware,https://news.google.com/rss/articles/CBMilwFBVV95cUxQSlhnWGxJSGszTVJwTkk3NDhobmxsSldYemNDNGZBc0FEaUEweWhnOEp1V2pnUmoyWGdNc2hfNVVSSVJpaTFSMTFwSnRFWE1wU1ViUFo0ck1UMHF6R0ZhSjYzczB3bm1PaFVIMFVtYnRlcEZCMVVCOHcxVDFhUFRKYzQzSHBCQTQ5MDZwR2hKcW9GMUxOMXFn?oc=5
2023-06-09 07:00:00,How Samsung became the world’s No. 2 advanced chipmaker and set the stage for a U.S. manufacturing boom - CNBC,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxPQ3g5OTlBOU5FMlhJQ0RsMlhiOEJycTFXcDFTaG4yaTh1TmpQa3VkRC1qaS0tWmExNGcwbTRTbHVubmRCZnRTeHIxMHNBalExOW9PT28tU2NqdnhJemVHZGxsT2ZnSFM0S0FfT1J4b2pQWVF0UEc0cWlDZGk1UUtYZUstT1gtQXJQSnZsSWNwMU1WUHpJOHplMFhJUjXSAaIBQVVfeXFMTlNqR1VLVzdhVW9TaXpXODFCS0RGMmM1aVozUk5ZM2NoUllpSzQyTnBTTGVGZ0ZnSFhJMXRwRmw3TzV2a3R1VzdGdU1IeU40OFhrM0VibkI5eVFWWTlfZkVubUE5WXVENW1Oc0xvWlNOU2FsQ0JQcjNrQkpkamd2UlNJazdMTU5GSUlUVDNTVTJvdkw1VE1pcm4zQWV0Y1V5ekdR?oc=5"" target=""_blank"">How Samsung became the world’s No. 2 advanced chipmaker and set the stage for a U.S. manufacturing boom</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",CNBC,https://news.google.com/rss/articles/CBMinAFBVV95cUxPQ3g5OTlBOU5FMlhJQ0RsMlhiOEJycTFXcDFTaG4yaTh1TmpQa3VkRC1qaS0tWmExNGcwbTRTbHVubmRCZnRTeHIxMHNBalExOW9PT28tU2NqdnhJemVHZGxsT2ZnSFM0S0FfT1J4b2pQWVF0UEc0cWlDZGk1UUtYZUstT1gtQXJQSnZsSWNwMU1WUHpJOHplMFhJUjXSAaIBQVVfeXFMTlNqR1VLVzdhVW9TaXpXODFCS0RGMmM1aVozUk5ZM2NoUllpSzQyTnBTTGVGZ0ZnSFhJMXRwRmw3TzV2a3R1VzdGdU1IeU40OFhrM0VibkI5eVFWWTlfZkVubUE5WXVENW1Oc0xvWlNOU2FsQ0JQcjNrQkpkamd2UlNJazdMTU5GSUlUVDNTVTJvdkw1VE1pcm4zQWV0Y1V5ekdR?oc=5
2023-06-09 07:00:00,"TSMC's extreme work culture is putting off US workers, CEO says employees should have passion for job - TechSpot","<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxNNXUyTk9IWDJsbk9IdjBfX1ZxSGdkd2NRUmJCdVRUdG9odUlpSkl1NUtiRHd6NmFkM3otNWlqX2JLNkFIWUIzcnprQUJjWVBCZmV6VnFDNU1NbW1BZzI2TUJaZlR0Y0Z2MUNyLUUtaVJOelJjSmJxRl9YWGZ6VElUN010N3dHbURSNHJBNC1EaUVNdTY0?oc=5"" target=""_blank"">TSMC's extreme work culture is putting off US workers, CEO says employees should have passion for job</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TechSpot</font>",TechSpot,https://news.google.com/rss/articles/CBMilAFBVV95cUxNNXUyTk9IWDJsbk9IdjBfX1ZxSGdkd2NRUmJCdVRUdG9odUlpSkl1NUtiRHd6NmFkM3otNWlqX2JLNkFIWUIzcnprQUJjWVBCZmV6VnFDNU1NbW1BZzI2TUJaZlR0Y0Z2MUNyLUUtaVJOelJjSmJxRl9YWGZ6VElUN010N3dHbURSNHJBNC1EaUVNdTY0?oc=5
2023-06-09 07:00:00,"The microchip industry would implode if China invaded Taiwan, and it would affect everyone - The Conversation","<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPRVQtZ0JKZXN3a3hacG0tN25ZX2E1QnF5R0VHVUpSRF85NE9MMkxnU0o1RG9zMkJfcm1nUkNtM0xXdGR2TXlUNF9QTDRHeG0tVnFlbmg3UjJjNUtWZmRtRzRBZ2YwaDlCT3IwZmJpRWhiQW8wY0lYckFTRHJvRVlXYjVQODdVNkhwTjdsSmw1eWk4MV9nUW5fOUplMG0yaUx3b1hnXzYzeHUxUHZZbzBzTHhQNS16cjFmZmZpLW05NUdKQQ?oc=5"" target=""_blank"">The microchip industry would implode if China invaded Taiwan, and it would affect everyone</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Conversation</font>",The Conversation,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPRVQtZ0JKZXN3a3hacG0tN25ZX2E1QnF5R0VHVUpSRF85NE9MMkxnU0o1RG9zMkJfcm1nUkNtM0xXdGR2TXlUNF9QTDRHeG0tVnFlbmg3UjJjNUtWZmRtRzRBZ2YwaDlCT3IwZmJpRWhiQW8wY0lYckFTRHJvRVlXYjVQODdVNkhwTjdsSmw1eWk4MV9nUW5fOUplMG0yaUx3b1hnXzYzeHUxUHZZbzBzTHhQNS16cjFmZmZpLW05NUdKQQ?oc=5
2023-06-08 07:00:00,Chip Titan TSMC's First Factory in Japan Has to Contend With Horrible Traffic - Bloomberg,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxOU1dXQkNsQnJyT3pDQzdlS2xTcUhQM2RVYlN1UHgxRHlrS0dLSFdoN0J4eDFVbjVNLWt0MmJubmNtb3NHMDFCU1VGcjZhMUtXd3N0Y3FYR0lWa0xJalFoRkJyNGhrOWFxZWZ0aFhnSUNTNlRTX0drU0NqYW4yeXcxX0pxdlg3UkFDZ080VWw3a0NraGs5TFF1cjVoU1pRbHcyaUJnOWloVG15cUZmdHJhanBHSEtDYkhlaFlsY0thWi1veURSXzFF?oc=5"" target=""_blank"">Chip Titan TSMC's First Factory in Japan Has to Contend With Horrible Traffic</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",Bloomberg,https://news.google.com/rss/articles/CBMixwFBVV95cUxOU1dXQkNsQnJyT3pDQzdlS2xTcUhQM2RVYlN1UHgxRHlrS0dLSFdoN0J4eDFVbjVNLWt0MmJubmNtb3NHMDFCU1VGcjZhMUtXd3N0Y3FYR0lWa0xJalFoRkJyNGhrOWFxZWZ0aFhnSUNTNlRTX0drU0NqYW4yeXcxX0pxdlg3UkFDZ080VWw3a0NraGs5TFF1cjVoU1pRbHcyaUJnOWloVG15cUZmdHJhanBHSEtDYkhlaFlsY0thWi1veURSXzFF?oc=5
2023-06-09 07:00:00,TSMC opens new advanced backend fab - DIGITIMES,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPdVEyRGMzaGctY3ViRkh6X2JVc1JGR0g4SzhEVmx5akpPMGkyNEZkN2NHN0ZMbE5kRThDU3J1MlNPTGNYZTM2Ump4elJkMC12endRUVFVb2VrOVBMNmxnWGRkck43czBWcDdRaVR1Ui02WkhJTm16ZGJzeDktTFN5N0ZWSzJacW0tcnJscFZaMzZXY0k4c0E?oc=5"" target=""_blank"">TSMC opens new advanced backend fab</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DIGITIMES</font>",DIGITIMES,https://news.google.com/rss/articles/CBMilgFBVV95cUxPdVEyRGMzaGctY3ViRkh6X2JVc1JGR0g4SzhEVmx5akpPMGkyNEZkN2NHN0ZMbE5kRThDU3J1MlNPTGNYZTM2Ump4elJkMC12endRUVFVb2VrOVBMNmxnWGRkck43czBWcDdRaVR1Ui02WkhJTm16ZGJzeDktTFN5N0ZWSzJacW0tcnJscFZaMzZXY0k4c0E?oc=5
2023-06-09 07:00:00,Chips ahoy! Japan recharges home-made semiconductors – with Taipei’s help - South China Morning Post,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxONXNhUGRHS2ZNNnVGZ2NVZ0VrVVRYVnVIWVBKUDNCZzRZSjVKMndEbHhfR3ZVdFNUeXVpc0tqVUwtVVZKdG92OVAtdHhxeTJZR3pIaURHa3l3OGcyLUJfb1d6bjhTNEhIdEwzeDAyUTdMVm5yd1RqWHFtVGE0allTRU85R1U1SVhBR1N5SzJnNFpDODcwRzdsRVpIcW5iN2ExQ1BnenNkdUQ0VDlMOGw5V2lWaTJJbUdlVE5nNFptQ045bVRMOHfSAcYBQVVfeXFMT212V2R4di0wQy1zb1pzMWUwS0VPMEtlVEFjalNCLVN2RmU5Uk53Z3hIWjE5TmhWMWVoTVdpeDJjQTg4empocFdTRC0zcWQ4c0xyRUpOX0I5MmlIc29ZYXN3elkzRHNoSl9CMlViVDR3a0ZJRkhZUzAtOXN4Q3c2emxRZ3h2S2FPb1pud1A4Mmliel93ZTNaZ3luYW1EUXd3ZWlCbWZSeHMyT1ZJaG9wR1ozcmhJaVNlV05Ta0VZcjd3ZDZYbkV3?oc=5"" target=""_blank"">Chips ahoy! Japan recharges home-made semiconductors – with Taipei’s help</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South China Morning Post</font>",South China Morning Post,https://news.google.com/rss/articles/CBMixgFBVV95cUxONXNhUGRHS2ZNNnVGZ2NVZ0VrVVRYVnVIWVBKUDNCZzRZSjVKMndEbHhfR3ZVdFNUeXVpc0tqVUwtVVZKdG92OVAtdHhxeTJZR3pIaURHa3l3OGcyLUJfb1d6bjhTNEhIdEwzeDAyUTdMVm5yd1RqWHFtVGE0allTRU85R1U1SVhBR1N5SzJnNFpDODcwRzdsRVpIcW5iN2ExQ1BnenNkdUQ0VDlMOGw5V2lWaTJJbUdlVE5nNFptQ045bVRMOHfSAcYBQVVfeXFMT212V2R4di0wQy1zb1pzMWUwS0VPMEtlVEFjalNCLVN2RmU5Uk53Z3hIWjE5TmhWMWVoTVdpeDJjQTg4empocFdTRC0zcWQ4c0xyRUpOX0I5MmlIc29ZYXN3elkzRHNoSl9CMlViVDR3a0ZJRkhZUzAtOXN4Q3c2emxRZ3h2S2FPb1pud1A4Mmliel93ZTNaZ3luYW1EUXd3ZWlCbWZSeHMyT1ZJaG9wR1ozcmhJaVNlV05Ta0VZcjd3ZDZYbkV3?oc=5
2023-06-08 07:00:00,TSMC customers Apple and Nvidia will be the first to Test 2nm processors while the industry enters a race to deliver 'Ultra-Fine' Fabrication - Patently Apple,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxPUXZkRHplUlhSZ1ZzZjB4SURPWDU3LVd5NldfQTA5R25DTTRRMmlpUHhIa0diQ3dWR0xXM3hvWGVOdXBUMVFJcnJFQWRpandaSTBjNGJPWHE2V1R4YmNaWHJLUVVtOG9hLTVFOWplVjl4TlUyRXJnT0ZZWTJXSlNBTnhKcGdpY0t1MW4zREpPSUx5bmY4RFo3SEZrODZRd1dDRVRwcld6d25ROFdlMktmaF9ScURmWXMxOXhUVzFoQjNyaUttYWxhMFVtSWVDNFJpamhmb1hJMTQ4RGlDTmZmOWlrMVN1WlFxN0RKWVZqS3ByNHA4akNmNHlmYw?oc=5"" target=""_blank"">TSMC customers Apple and Nvidia will be the first to Test 2nm processors while the industry enters a race to deliver 'Ultra-Fine' Fabrication</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patently Apple</font>",Patently Apple,https://news.google.com/rss/articles/CBMi-wFBVV95cUxPUXZkRHplUlhSZ1ZzZjB4SURPWDU3LVd5NldfQTA5R25DTTRRMmlpUHhIa0diQ3dWR0xXM3hvWGVOdXBUMVFJcnJFQWRpandaSTBjNGJPWHE2V1R4YmNaWHJLUVVtOG9hLTVFOWplVjl4TlUyRXJnT0ZZWTJXSlNBTnhKcGdpY0t1MW4zREpPSUx5bmY4RFo3SEZrODZRd1dDRVRwcld6d25ROFdlMktmaF9ScURmWXMxOXhUVzFoQjNyaUttYWxhMFVtSWVDNFJpamhmb1hJMTQ4RGlDTmZmOWlrMVN1WlFxN0RKWVZqS3ByNHA4akNmNHlmYw?oc=5
