發佈時間,標題,描述,來源,連結
2023-10-16 07:00:00,TSMC: We Want OSATs to Expand Their Advanced Packaging Capability - AnandTech,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQVm04bTRLMl9BSGtIbGpiUTJGcnJ1NEttX2N2Z3RrS1VjZS1JYzNQcy1pLTNoWlR1dC1VcUV0emhCc0JkM0o5NUlKTXN2dTZZM3NDQm9yX1dpYXpQVmNXM2w3WTRIVjBtSjkwSmxhVnplNkRQdUxnRFNhZDQ5UWZoN0lrWWliNkNVUXlQSldrNUE0clZ5cXIwTDhISm9VbHlETzlV?oc=5"" target=""_blank"">TSMC: We Want OSATs to Expand Their Advanced Packaging Capability</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AnandTech</font>",AnandTech,https://news.google.com/rss/articles/CBMiowFBVV95cUxQVm04bTRLMl9BSGtIbGpiUTJGcnJ1NEttX2N2Z3RrS1VjZS1JYzNQcy1pLTNoWlR1dC1VcUV0emhCc0JkM0o5NUlKTXN2dTZZM3NDQm9yX1dpYXpQVmNXM2w3WTRIVjBtSjkwSmxhVnplNkRQdUxnRFNhZDQ5UWZoN0lrWWliNkNVUXlQSldrNUE0clZ5cXIwTDhISm9VbHlETzlV?oc=5
2023-10-16 07:00:00,Apple commits to TSMC chip orders for iPhone 16 series next year: report - TechNode,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNaHA1OTl0c3F3TnN1THNHTVlDWS1xSW9RRmVFOS05R3U2QmphTlphTi12VTRhampSQXFXTlNqcEllQ1ljLTZQb2FhRkpoTGFleDFSWG1DcXdBQ3JDMWlSNlBNQWFfWU42aDF4a3I0S0tPamZENURKNnZjLVVyaGtVQTl3V3RaWEpzUHJ1dXVMOEFobmV2YjZveUNyb1NVZVJIMUJqOVlnQQ?oc=5"" target=""_blank"">Apple commits to TSMC chip orders for iPhone 16 series next year: report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TechNode</font>",TechNode,https://news.google.com/rss/articles/CBMipwFBVV95cUxNaHA1OTl0c3F3TnN1THNHTVlDWS1xSW9RRmVFOS05R3U2QmphTlphTi12VTRhampSQXFXTlNqcEllQ1ljLTZQb2FhRkpoTGFleDFSWG1DcXdBQ3JDMWlSNlBNQWFfWU42aDF4a3I0S0tPamZENURKNnZjLVVyaGtVQTl3V3RaWEpzUHJ1dXVMOEFobmV2YjZveUNyb1NVZVJIMUJqOVlnQQ?oc=5
2023-10-16 07:00:00,TSMC faces great challenges: founder - 台北時報,"<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE83U3FYb2FwamJUT3J6cU5MWWdKZXk1WHVBcWtESEYtUldUQkNvTm54MDRmbEh6bm1HYm1ielRRQW5VZGpwYks5ZGd0bzNCTk41UGRSZUFaNlRJb29oMUYzeXlNZUMta2Q5ZEtKWURxTkpnZHpzcWc?oc=5"" target=""_blank"">TSMC faces great challenges: founder</a>&nbsp;&nbsp;<font color=""#6f6f6f"">台北時報</font>",台北時報,https://news.google.com/rss/articles/CBMidkFVX3lxTE83U3FYb2FwamJUT3J6cU5MWWdKZXk1WHVBcWtESEYtUldUQkNvTm54MDRmbEh6bm1HYm1ielRRQW5VZGpwYks5ZGd0bzNCTk41UGRSZUFaNlRJb29oMUYzeXlNZUMta2Q5ZEtKWURxTkpnZHpzcWc?oc=5
2023-10-16 07:00:00,"TSMC founder says Intel won’t catch up, but there are threats to Apple chipmaker - 9to5Mac","<a href=""https://news.google.com/rss/articles/CBMiYEFVX3lxTE9XQks5SHlpLTZpSHZ6dlB3REhQdXdvTkFNU3ZsTXFjM1RIc2s2TC05T0JpRmJkUjhJQlk3a3JvSWt4UExnWG9pdmhFdXFxWDlCNE9OYWpnbjFfd3lPZHB4Mg?oc=5"" target=""_blank"">TSMC founder says Intel won’t catch up, but there are threats to Apple chipmaker</a>&nbsp;&nbsp;<font color=""#6f6f6f"">9to5Mac</font>",9to5Mac,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9XQks5SHlpLTZpSHZ6dlB3REhQdXdvTkFNU3ZsTXFjM1RIc2s2TC05T0JpRmJkUjhJQlk3a3JvSWt4UExnWG9pdmhFdXFxWDlCNE9OYWpnbjFfd3lPZHB4Mg?oc=5
2023-10-16 07:00:00,TSMC ESG - TSMC’s “Environmental Recycled Box” Creates Carbon Reduction and Public Welfare - Taiwan Semiconductor,"<a href=""https://news.google.com/rss/articles/CBMiUEFVX3lxTE0wT3JNaElxVXJiRnU3UWVDX0FSRENUejlPU05ZRmp6VmxQZ0FvWnF5OHM2N0pibXlKeWhpRVludkpVTUs3a2MtR2JwRllqZ2Vy?oc=5"" target=""_blank"">TSMC ESG - TSMC’s “Environmental Recycled Box” Creates Carbon Reduction and Public Welfare</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Taiwan Semiconductor</font>",Taiwan Semiconductor,https://news.google.com/rss/articles/CBMiUEFVX3lxTE0wT3JNaElxVXJiRnU3UWVDX0FSRENUejlPU05ZRmp6VmxQZ0FvWnF5OHM2N0pibXlKeWhpRVludkpVTUs3a2MtR2JwRllqZ2Vy?oc=5
2023-10-15 07:00:00,All iPhone 16 Models To Feature 3nm A18 Chips Based On TSMC’s N3E Process For Better Yield And Performance - Wccftech,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxNdzBtSG9CRUVNNVNKMjl5X1gtV0dnTkNVVF9XRjNuVFk5UGFnNXZTa2tUNkxmazg2cDhScXZrQko2eGdwQVRwenQwWGZ1VkliVzQydXZzUGF4cjNuZFk1VVBBUnZlVjM1WHh6d0xzSS14Qzl4Z2xabEhuWW5VWlpQQXZUSGFWUdIBiwFBVV95cUxNRXZTeFZmQUx1aTA5TlZFQzRtclVfV1RDekZ3SldsMDRDckJicW5vTzNnYWdoeldEYmI2XzRBZjhwdFM5dEtxQW13cUlLdHZRYlhiMEtiWi1UaTVzdjdIREJhRk1GazBTTFFtZFBDU1VrUkRKc3RBQ3JwMUJPaEJCNEpyM3BLanV3WVRN?oc=5"" target=""_blank"">All iPhone 16 Models To Feature 3nm A18 Chips Based On TSMC’s N3E Process For Better Yield And Performance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Wccftech</font>",Wccftech,https://news.google.com/rss/articles/CBMihgFBVV95cUxNdzBtSG9CRUVNNVNKMjl5X1gtV0dnTkNVVF9XRjNuVFk5UGFnNXZTa2tUNkxmazg2cDhScXZrQko2eGdwQVRwenQwWGZ1VkliVzQydXZzUGF4cjNuZFk1VVBBUnZlVjM1WHh6d0xzSS14Qzl4Z2xabEhuWW5VWlpQQXZUSGFWUdIBiwFBVV95cUxNRXZTeFZmQUx1aTA5TlZFQzRtclVfV1RDekZ3SldsMDRDckJicW5vTzNnYWdoeldEYmI2XzRBZjhwdFM5dEtxQW13cUlLdHZRYlhiMEtiWi1UaTVzdjdIREJhRk1GazBTTFFtZFBDU1VrUkRKc3RBQ3JwMUJPaEJCNEpyM3BLanV3WVRN?oc=5
2023-10-16 07:00:00,TSMC's founder says Intel will not escape the Taiwan-based foundry's shadow - PhoneArena,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPRFNxQm5MQWlMS3VkV1VOc2JFQmFTNWJsV1haOGhVNWtqWnJjMllSMjhiVGZLeW96ZXVESU84QWdabkhaUWhxbm94Q1ZMaWQyRENyVjVLb1M2YWZSRGRoZ2JRc204cWNfUzEtZTBDd1N3b0RpNnFHd240SHZtS3ZEeHc4bjd1OVhPMlBQaUhfbjl2VEE0Sk1wOUFIVzZPb3RDMmdKdW02cXhCdElp?oc=5"" target=""_blank"">TSMC's founder says Intel will not escape the Taiwan-based foundry's shadow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PhoneArena</font>",PhoneArena,https://news.google.com/rss/articles/CBMirAFBVV95cUxPRFNxQm5MQWlMS3VkV1VOc2JFQmFTNWJsV1haOGhVNWtqWnJjMllSMjhiVGZLeW96ZXVESU84QWdabkhaUWhxbm94Q1ZMaWQyRENyVjVLb1M2YWZSRGRoZ2JRc204cWNfUzEtZTBDd1N3b0RpNnFHd240SHZtS3ZEeHc4bjd1OVhPMlBQaUhfbjl2VEE0Sk1wOUFIVzZPb3RDMmdKdW02cXhCdElp?oc=5
2023-10-16 07:00:00,Samsung Electronics poised to surpass TSMC in 2nm chip production - 매일경제,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTE5QLWNuYVdKaTBYamhFSVV3U0J6NjJzMHRRaGdyWGFrRm1NdV9VcDZ2R1lkMk5seHhSWkJPa3FxVTY4WkJmMU00ZGI4QlAxNTZxd0NNTTFpdw?oc=5"" target=""_blank"">Samsung Electronics poised to surpass TSMC in 2nm chip production</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>",매일경제,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5QLWNuYVdKaTBYamhFSVV3U0J6NjJzMHRRaGdyWGFrRm1NdV9VcDZ2R1lkMk5seHhSWkJPa3FxVTY4WkJmMU00ZGI4QlAxNTZxd0NNTTFpdw?oc=5
2023-10-16 07:00:00,"``Intel is not a big threat,'' says the founder of Taiwanese semiconductor maker TSMC, also revealing that 2nm process development is progressing smoothly. - GIGAZINE（ギガジン）","<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTE5wcFRaNk8yZ1B2NmprTXpCOTgteXFmS2NOVjBfV3RqTzgxQzJLM3Z4amJRT211N2p2X0xFTFNSTW12azg4Y21kMGtZeDNXdkFwOWdtQnZ2RkxvaVZMeWZNeEZNZjdGWlR4XzRuY0hEblZmLWxLd0wtckZ3?oc=5"" target=""_blank"">``Intel is not a big threat,'' says the founder of Taiwanese semiconductor maker TSMC, also revealing that 2nm process development is progressing smoothly.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GIGAZINE（ギガジン）</font>",GIGAZINE（ギガジン）,https://news.google.com/rss/articles/CBMiekFVX3lxTE5wcFRaNk8yZ1B2NmprTXpCOTgteXFmS2NOVjBfV3RqTzgxQzJLM3Z4amJRT211N2p2X0xFTFNSTW12azg4Y21kMGtZeDNXdkFwOWdtQnZ2RkxvaVZMeWZNeEZNZjdGWlR4XzRuY0hEblZmLWxLd0wtckZ3?oc=5
2023-10-16 07:00:00,Competition intensifies between Samsung and TSMC to conquer 2nm chip technology - HC Newsroom,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOZTBveWxRU0J4a09lWVktdlk3c2JYd3JJNmY2WkhOVTdOZjdfLVhsQTM3dUpQNmtJdTNHMlNuSU03Snh0MHdsSEhsVlRQWnk0djdfellrMGVGRzNhZi1vdzMwUEtJeEhTSE9QakI1bWotYkJ1Z3hsdl9mb0pnSGRtS0M0RnY0SkJDV0JvU3U4Rzh4RjVxX3dqUzRrSE9BQVlQQVZmbmd2ZTI0WFg0VUJn0gG0AUFVX3lxTE1rUlVPMUZKb1N3cmxJbzFXSFJBcGw2Q1p1ZHhlb0JiT0tCeXFlU3VrOUVvcUNib3J2eHJBSVlsNDJfRGVxSHRqVFI3a2t4RmZPVzMyN2ppY1BncDFQdzNqaUdaMjdoWjdkaXhOc20yVjc2d1RMZWhkOVkycXNkdFhzYlZLc2ZuR0ViVVlTcHhsYXFHaDVTT1BENUN0NWM4cGUxZHByWUJYQnVXbm9tMmhiM0VBag?oc=5"" target=""_blank"">Competition intensifies between Samsung and TSMC to conquer 2nm chip technology</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HC Newsroom</font>",HC Newsroom,https://news.google.com/rss/articles/CBMirwFBVV95cUxOZTBveWxRU0J4a09lWVktdlk3c2JYd3JJNmY2WkhOVTdOZjdfLVhsQTM3dUpQNmtJdTNHMlNuSU03Snh0MHdsSEhsVlRQWnk0djdfellrMGVGRzNhZi1vdzMwUEtJeEhTSE9QakI1bWotYkJ1Z3hsdl9mb0pnSGRtS0M0RnY0SkJDV0JvU3U4Rzh4RjVxX3dqUzRrSE9BQVlQQVZmbmd2ZTI0WFg0VUJn0gG0AUFVX3lxTE1rUlVPMUZKb1N3cmxJbzFXSFJBcGw2Q1p1ZHhlb0JiT0tCeXFlU3VrOUVvcUNib3J2eHJBSVlsNDJfRGVxSHRqVFI3a2t4RmZPVzMyN2ppY1BncDFQdzNqaUdaMjdoWjdkaXhOc20yVjc2d1RMZWhkOVkycXNkdFhzYlZLc2ZuR0ViVVlTcHhsYXFHaDVTT1BENUN0NWM4cGUxZHByWUJYQnVXbm9tMmhiM0VBag?oc=5
2023-10-16 07:00:00,New report confirms M3 MacBook Air is almost ready – but you’ll have to wait until 2024 - TechRadar,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxQRmhZN1dTRVNBS29EWmJOZF9vall4SjJHVkJQZjEwX0tpUjR4SXcySkFMRUxaQVJYc3NPOFN4a3BwUGlDV3czaXhfQzhwRWFsRHlfaUkzOGRqcVJxbU1WMDZabm1FMy0wSFlPcnJYeWw2YVpfOG4ybEx2LVltd2F6VFpITHRERUNiUG5SR0tfdU5Fb2tTWEhhYWRwVmtHZl9ERDZuRDcwd3RDdm5laDMyTVlBT1BXdFVfclNkdWRtdl9zczgwN2MyRg?oc=5"" target=""_blank"">New report confirms M3 MacBook Air is almost ready – but you’ll have to wait until 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TechRadar</font>",TechRadar,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQRmhZN1dTRVNBS29EWmJOZF9vall4SjJHVkJQZjEwX0tpUjR4SXcySkFMRUxaQVJYc3NPOFN4a3BwUGlDV3czaXhfQzhwRWFsRHlfaUkzOGRqcVJxbU1WMDZabm1FMy0wSFlPcnJYeWw2YVpfOG4ybEx2LVltd2F6VFpITHRERUNiUG5SR0tfdU5Fb2tTWEhhYWRwVmtHZl9ERDZuRDcwd3RDdm5laDMyTVlBT1BXdFVfclNkdWRtdl9zczgwN2MyRg?oc=5
