標題,真實新聞連結,標題_情感極性,標題_主觀性,全文_情感極性,全文_主觀性
"GPU Architecture Deep Dive: Nvidia Ada Lovelace, AMD RDNA 3 and Intel Arc Alchemist - TechSpot",https://www.techspot.com/article/2570-gpu-architectures-nvidia-intel-amd/,0.0,0.4,0.11016101104708699,0.45048400380678866
Nvidia DLSS vs AMD FSR: which graphics upscaling technology is better? - TechRadar,https://www.techradar.com/computing/gpu/nvidia-dlss-vs-amd-fsr-which-graphics-upscaling-technology-is-better,0.5,0.5,0.1940489308671127,0.4792152544425271
"Startup Builds Supercomputer with 22,000 Nvidia's H100 Compute GPUs - Tom's Hardware",https://www.tomshardware.com/news/startup-builds-supercomputer-with-22000-nvidias-h100-compute-gpus,0.0,0.0,0.12141779238164782,0.4562230741146403
Mining Companies Consider Repurposing Idle GPUs to HPC and AI Markets - HPCwire,https://www.hpcwire.com/2023/07/06/mining-companies-consider-repurposing-idle-gpus-to-hpc-and-ai-markets/,0.0,0.0,-0.009063159063159057,0.47630147630147607
"AMD Improving Xen VirtIO GPU Support For In-Vehicle Infotainment, Using RADV - Phoronix",https://www.phoronix.com/news/AMD-Xen-GPU-For-Cars,0.0,0.0,0.11225490196078432,0.3877450980392157
Nvidia reportedly mulls outsourcing partial AI GPU production to Samsung - DIGITIMES,https://www.digitimes.com/news/a20230705PD201/nvidia-ai-gpu-outsourcing-samsung-electronics-tsmc.html,-0.1,0.3,0.10611123769018495,0.4291682489050908
Firefox 115 Released with Intel GPU Video Decoding on Linux - OMG! Ubuntu!,https://www.omgubuntu.co.uk/2023/07/firefox-115-intel-gpu-video-decoding-on-linux,0.0,0.0,0.21806943056943057,0.5332015207015207
Palit GeForce RTX 4060 Dual Review - PCMag Middle East,https://me.pcmag.com/en/graphics-cards/17988/palit-geforce-rtx-4060-dual-review,0.0,0.0,0.20981510633025782,0.5152297141691082
NVIDIA GeForce RTX 4080 16 GB GPU Available For A Price Of Just $999 US - Wccftech,https://wccftech.com/nvidia-geforce-rtx-4080-16-gb-gpu-available-for-a-price-of-just-999-us/,0.4,0.4,0.132636823302146,0.4557583903551646
"A Change in the Weather: AI, Accelerated Computing Promise Faster, More Efficient Predictions - NVIDIA Blog",https://blogs.nvidia.com/blog/ai-efficient-weather-predictions/,0.5,0.5,0.1359452479338843,0.4831232782369143
Samsung Aims to Challenge TSMC For AI GPU Orders - Graphic Speak,https://gfxspeak.com/featured/samsung-aims-to-challenge-tsmc-for-ai-gpu-orders/,0.0,0.4,0.11004092261904762,0.5579092261904763
AMD accidentally listed an unannounced Radeon RX 7000 GPU - PCGamesN,https://www.pcgamesn.com/amd/radeon-rx-7600-xt-accidental-listing,0.0,0.0,0.21785714285714283,0.5535714285714286
ASUS GeForce RTX 4090 ROG MATRIX Sets World Record & Becomes First GPU To Break 4 GHz Clock Barrier - Wccftech,https://wccftech.com/asus-geforce-rtx-4090-rog-matrix-sets-world-record-becomes-first-gpu-to-break-4-ghz-clock-barrier/,0.25,0.3333333333333333,0.14966445591445604,0.45650090650090636
Overclocked RTX 4090 Conquers 4 GHz - Tom's Hardware,https://www.tomshardware.com/news/overclocked-rtx-4090-conquers-4-ghz,0.0,0.0,0.15069008769008768,0.492005217005217
"Nvidia's GeForce RTX 4090 Is Overclocked to 4GHz, Breaking Record - PCMag",https://www.pcmag.com/news/nvidias-geforce-rtx-4090-is-overclocked-to-4ghz-breaking-record,0.0,0.0,0.18941689623507807,0.48399908172635453
NVIDIA’s 16 GB GeForce RTX 4060 Ti GPU Hits Shelves On 18th July For $499 US - Wccftech,https://wccftech.com/nvidia-16-gb-geforce-rtx-4060-ti-gpu-hits-shelves-on-18th-july-for-499-us/,0.0,0.0,0.09962871484343885,0.4904159031152893
Enhanced AI security on the horizon with Nvidia and Intel collaboration - SiliconANGLE News,https://siliconangle.com/2023/07/06/enhanced-ai-security-horizon-nvidia-intel-collaboration/,0.0,0.0,0.1366426595890881,0.43017539338967975
ASRock's First Low-Profile GPU Is An Intel Arc A380 For Compact Budget Gaming PCs - Hot Hardware,https://hothardware.com/news/asrocks-first-low-profile-gpu-is-an-intel-arc-a380,0.25,0.5916666666666667,0.15716585921915077,0.508927994680346
ASUS ROG Matrix GeForce RTX 4090 Is The First GPU To Break The 4GHz Barrier - Hot Hardware,https://hothardware.com/news/geforce-rtx-4090-overclocked-beyond-4ghz,0.25,0.5916666666666667,0.1284432672590568,0.40571314650261997
Best cheap graphics card deals in July 2023: affordable GPUs for today's top games - Gamesradar,https://www.gamesradar.com/cheap-graphics-cards/,0.6333333333333333,0.5,0.27854785161257245,0.5371360450040662
Nvidia may have finally fixed its melting power connectors - Digital Trends,https://www.digitaltrends.com/computing/nvidia-didnt-use-12vhpwr-for-its-latest-gpus/,0.05,0.1,0.10406413761676916,0.4858946608946609
NVIDIA Used 12V-2×6 Connector Design Instead of 12VHPWR On GeForce RTX 4070 GPUs - Wccftech,https://wccftech.com/nvidia-used-12v-2x6-connector-design-instead-of-12vhpwr-on-geforce-rtx-4070-gpus/,0.0,0.0,0.12477492314448851,0.4138057594579332
AI To The Rescue For Server And Storage Spending In Q1 - The Next Platform,https://www.nextplatform.com/2023/07/06/ai-to-the-rescue-for-server-and-storage-spending-in-q1/,0.0,0.0,0.17444469984292985,0.49313846428890673
Nvidia secretly improved its GeForce RTX 40 series graphics cards - PCGamesN,https://www.pcgamesn.com/nvidia/geforce-rtx-40-secret-improvement,-0.4,0.7,0.1736008039579468,0.518947124304267
ASUS GeForce RTX 3060 Ti Atlas Shark GPUs Come With 16-Pin 12VHPWR Connector - Wccftech,https://wccftech.com/asus-geforce-rtx-3060-ti-atlas-shark-gpus-come-with-16-pin-12vhpwr-connector/,0.0,0.0,0.05597448326321559,0.49672580940186567
RPCS3 0.0.28 brings numerous GPU performance improvements - DSOGaming,https://www.dsogaming.com/news/rpcs3-0-0-28-brings-numerous-gpu-performance-improvements/,0.0,0.5,0.14578125,0.45536458333333335
"NVIDIA GeForce RTX 4060 Ti, RTX 4060 & AMD Radeon RX 7600 Now Selling For 10% Below MSRP - Wccftech",https://wccftech.com/nvidia-geforce-rtx-4060-ti-rtx-4060-amd-radeon-rx-7600-now-selling-for-10-below-msrp/,0.0,0.0,0.07872888549359144,0.4723842870481524
Review: Gigabyte RTX 4060 WindForce OC 8G - Specifications and PCB - Overclocking.com,https://en.overclocking.com/test-gigabyte-rtx-4060-windforce-oc-8g/3/,0.0,0.0,0.12383047060466415,0.4983417120513896
12V2x6 Is Yet Another GPU Connector Looking To Fix 12VHPWR’s Problems - Pokde.Net,https://pokde.net/system/pc/gpu/12v2x6-gpu-connector-12vhpwr,0.0,0.0,0.09100863675331762,0.47343655162804094
Review : Alphacool Eiswolf 2 AIO – 360 mm RTX 4090 TUF - Overclocking.com,https://en.overclocking.com/review-alphacool-eiswolf-2-aio-360-mm-rtx-4090-tuf/4/,0.0,0.0,0.13295086279461274,0.46681758056758044
"Intel Arrow Lake CPUs Rumored To Drop 20A Node, Utilizing TSMC 3nm Instead - Wccftech",https://wccftech.com/intel-arrow-lake-cpus-rumored-to-drop-20a-node-utilizing-tsmc-3nm-instead/,0.0,0.0,0.1128118393234673,0.49625356555589095
MSI Ventus 2X GeForce RTX 4060 Review: Solid Entry-Level Performer - Lowyat.NET,https://www.lowyat.net/2023/302942/msi-ventus-2x-geforce-rtx-4060-review/,0.0,0.1,0.42424242424242425,0.6363636363636364
How to Check if a Graphics Card Is Compatible With Your PC - Alphr,https://www.alphr.com/check-graphics-card-compatible-pc/,0.0,0.0,0.19165239589687777,0.4503548705586064
Nvidia changed melting GPU power connector & no one noticed - Dexerto,https://www.dexerto.com/tech/nvidia-changed-melting-gpu-power-connector-no-one-noticed-2199691/,0.0,0.0,0.00019905689548548045,0.4108959492888064
Can the RTX 4060 Ti 16GB run 4K? - PC Guide - For The Latest PC Hardware & Tech News,https://www.pcguide.com/gpu/rtx-4060-ti-16gb-4k/,0.5,0.9,0.2096923076923077,0.5733846153846152
You don’t have enough system and video memory to start the game - The Windows Club,https://www.thewindowsclub.com/you-dont-have-enough-system-and-video-memory-to-start-the-game,-0.2,0.45,-0.05130050505050504,0.418781866281866
"DMZ Wallet Expansion 4 Crown Guide - GPU, Game Console, VCR, Encrypted Hard Drives (Locations) - Pro Game Guides",https://progameguides.com/call-of-duty/dmz-wallet-expansion-4-crown-guide-gpu-game-console-vcr-encrypted-hard-drives-locations/,-0.36388888888888893,0.44722222222222224,0.13136645962732918,0.3912008281573494
