標題,真實新聞連結,標題_情感極性,標題_主觀性,全文_情感極性,全文_主觀性
"Cotton Falls On Friday, As Specs Balloon to Record Net Short - Nasdaq",https://www.nasdaq.com/articles/cotton-falls-friday-specs-balloon-record-net-short,0.0,0.15,0.014993943254812818,0.31513570970092714
Will The Stock Market Crash in 2025 Under President Trump? Here's What The Numbers Say. - Nasdaq,https://www.nasdaq.com/articles/will-stock-market-crash-2025-under-president-trump-heres-what-numbers-say,0.0,0.0,0.16532176324344994,0.5027003251099635
What's New With AMD Stock? - Nasdaq,https://www.nasdaq.com/articles/whats-new-amd-stock,0.13636363636363635,0.45454545454545453,0.12514473304473303,0.44277842712842697
Where Will Lucid Be in 1 Year? - Nasdaq,https://www.nasdaq.com/articles/where-will-lucid-be-1-year-0,0.0,0.0,0.15472259541225053,0.49223188688705904
2 Stocks That Cut You a Check Each Month - Nasdaq,https://www.nasdaq.com/articles/2-stocks-cut-you-check-each-month-1,0.0,0.0,0.2676235761874061,0.5320690184519971
Nvidia Could Be a No-Brainer Buy in February - Nasdaq,https://www.nasdaq.com/articles/nvidia-could-be-no-brainer-buy-february,0.0,0.0,0.23405812009772414,0.4861700840413708
Where Will Nvidia Stock Be in 3 Years? - Nasdaq,https://www.nasdaq.com/articles/where-will-nvidia-stock-be-3-years-6,0.0,0.0,0.17461007130124778,0.49827558062852156
Where Will Rigetti Computing Be in 3 Years? - Nasdaq,https://www.nasdaq.com/articles/where-will-rigetti-computing-be-3-years,0.0,0.0,0.21646457431457444,0.4588680763680762
Is CrowdStrike Stock a Buy Now? - Nasdaq,https://www.nasdaq.com/articles/crowdstrike-stock-buy-now-1,0.0,0.0,0.16218868579979695,0.4532293837849392
Could Buying fuboTV Stock Today Set You Up for Life? - Nasdaq,https://www.nasdaq.com/articles/could-buying-fubotv-stock-today-set-you-life,0.0,0.0,0.17132224500645551,0.4934074989338144
Has IBM Stock Become a Buy? - Nasdaq,https://www.nasdaq.com/articles/has-ibm-stock-become-buy,0.0,0.0,0.21017567703614215,0.4542116797930749
Should You Pick VRTX Stock At $450? - Nasdaq,https://www.nasdaq.com/articles/should-you-pick-vrtx-stock-450,0.0,0.0,0.14925032175032174,0.46141570141570115
"3 Unstoppable Stocks That Could Turn $1,000 Into $5,000 by 2035 - Nasdaq",https://www.nasdaq.com/articles/3-unstoppable-stocks-could-turn-1000-5000-2035,0.0,0.0,0.17644014449383585,0.4579275012832062
Where Did Tesla's Demand Go? - Nasdaq,https://www.nasdaq.com/articles/where-did-teslas-demand-go,0.0,0.0,0.16372196304235137,0.4715499656761792
Is Snowflake Stock a Buy Now? - Nasdaq,https://www.nasdaq.com/articles/snowflake-stock-buy-now-2,0.0,0.0,0.18504332114245917,0.5274408182813355
"Is Estée Lauder a Buy, Sell, or Hold in 2025? - Nasdaq",https://www.nasdaq.com/articles/estee-lauder-buy-sell-or-hold-2025-1,0.0,0.0,0.19985326235326234,0.5400488025488023
3 Best AI Stocks to Buy in February - Nasdaq,https://www.nasdaq.com/articles/3-best-ai-stocks-buy-february,1.0,0.3,0.2214549369070646,0.5552873367766983
Where Will Polestar Automotive Stock Be in 1 Year? - Nasdaq,https://www.nasdaq.com/articles/where-will-polestar-automotive-stock-be-1-year,0.0,0.0,0.1778546426071179,0.4811773320189161
"Prediction: This Will Be the Best-Performing ""Magnificent Seven"" Stock of 2025 - Nasdaq",https://www.nasdaq.com/articles/prediction-will-be-best-performing-magnificent-seven-stock-2025-0,1.0,1.0,0.2657080181322607,0.5385365588395888
Should You Buy Starbucks Stock Now? It's Complicated. - Nasdaq,https://www.nasdaq.com/articles/should-you-buy-starbucks-stock-now-its-complicated,-0.5,1.0,0.21447919887652045,0.5187222351061634
Amazon vs Nvidia: Billionaires Are Buying One and Selling the Other - Nasdaq,https://www.nasdaq.com/articles/amazon-vs-nvidia-billionaires-are-buying-one-and-selling-other-0,-0.125,0.375,0.2661665856818919,0.49888970156827284
My 2 Favorite Stocks to Buy Right Now - Nasdaq,https://www.nasdaq.com/articles/my-2-favorite-stocks-buy-right-now-2,0.39285714285714285,0.7678571428571428,0.17972127972127977,0.5067011817011817
Can Nvidia Stock Still Hit $200 in 2025? - Nasdaq,https://www.nasdaq.com/articles/can-nvidia-stock-still-hit-200-2025,0.0,0.0,0.16136800027929066,0.4655458117151664
"Got $1,000? 2 Top Growth Stocks to Buy Right Now - Nasdaq",https://www.nasdaq.com/articles/got-1000-2-top-growth-stocks-buy-right-now,0.39285714285714285,0.5178571428571428,0.15038659590029457,0.4686778499278502
4 Reasons to Buy Walmart Stock Like There's No Tomorrow - Nasdaq,https://www.nasdaq.com/articles/4-reasons-buy-walmart-stock-theres-no-tomorrow-1,0.0,0.0,0.22707784070566037,0.5223108658259036
Elon Musk Reveals New $10 Trillion Opportunity for Tesla Stock Investors - Nasdaq,https://www.nasdaq.com/articles/elon-musk-reveals-new-10-trillion-opportunity-tesla-stock-investors,0.13636363636363635,0.45454545454545453,0.2826273943921002,0.552870441105735
Is IBM Stock a Buy at an All-Time High? - Nasdaq,https://www.nasdaq.com/articles/ibm-stock-buy-all-time-high,0.16,0.5399999999999999,0.18409954243287585,0.49228518395185034
Why This Nvidia Shareholder Isn't Losing Sleep Over DeepSeek AI - Nasdaq,https://www.nasdaq.com/articles/why-nvidia-shareholder-isnt-losing-sleep-over-deepseek-ai,0.0,0.0,0.20549206349206361,0.5337633477633478
3 Reasons to Buy Dollar General Stock Like There's No Tomorrow - Nasdaq,https://www.nasdaq.com/articles/3-reasons-buy-dollar-general-stock-theres-no-tomorrow-0,0.05000000000000002,0.5,0.1562779765585888,0.4571767235032539
