標題,真實新聞連結,標題_情感極性,標題_主觀性,全文_情感極性,全文_主觀性
Donald Trump brings his campaign to the courthouse as his criminal hush money trial begins - The Associated Press,https://apnews.com/article/trump-criminal-trial-campaign-833ca03359cb76331f16580ac04e398e,-0.4,0.55,0.12616057936896807,0.4172932419108299
PITCH: Legal Analysis of Hush Money Trial facing former President Donald Trump - Syracuse University News,https://news.syr.edu/blog/2024/04/16/pitch-legal-analysis-of-hush-money-trial-facing-former-president-donald-trump/,0.1,0.1,0.23929292929292928,0.36060606060606065
"As a US diplomat, I helped circumvent Trump’s Muslim ban – then realised I was part of the problem | Josef Burton - The Guardian",https://www.theguardian.com/commentisfree/2024/apr/15/us-diplomat-donald-trump-muslim-ban-embassy,0.0,0.0,0.028707482993197284,0.4000340136054422
Americans Are Still Paying for the Trump-Biden Tariffs - Tax Foundation,https://taxfoundation.org/blog/biden-trump-tariffs/,0.0,0.0,0.08005351130351132,0.37904280904280907
3 key things to watch in Trump’s first criminal trial - PBS NewsHour,https://www.pbs.org/newshour/politics/what-to-expect-from-trumps-first-criminal-trial,-0.05000000000000001,0.6277777777777778,0.07008311192860547,0.3779509712986108
Difficult hunt for 12 unbiased jurors in historic Trump trial - BBC.com,https://www.bbc.com/news/world-us-canada-68671730,-0.25,0.5,0.07031972164950889,0.4068455775902586
Trump trial: Why can’t Americans see or hear what is going on inside the courtroom? - Free Speech Center,https://firstamendment.mtsu.edu/post/trump-trial-why-cant-americans-see-or-hear-what-is-going-on-inside-the-courtroom/,0.15000000000000002,0.45,0.2357142857142857,0.29047619047619044
Takeaways from the first day of the Trump hush money trial - CNN,https://edition.cnn.com/2024/04/15/politics/takeaways-trump-hush-money-trial/index.html,0.25,0.3333333333333333,0.08926459719142645,0.4365360926336538
Trump’s Nostalgia Bump - The New York Times,https://www.nytimes.com/2024/04/15/briefing/donald-trump-polls.html,0.13636363636363635,0.45454545454545453,0.12486938349007311,0.4260318704284222
Trump's historic hush money trial gets underway; 1st day ends without any jurors being picked - The Associated Press,https://apnews.com/article/trump-hush-money-trial-jury-selection-8da8759352478be8effd3d5734aae35e,0.0,0.0,0.10680066793985969,0.39185086628710075
Liz Truss backs Donald Trump to win US presidential election - BBC.com,https://www.bbc.com/news/uk-politics-68821646,0.8,0.4,0.08326250307957625,0.4182249322493224
New York appeals judge rejects Trump’s request to delay his April 15 hush money trial - PBS NewsHour,https://www.pbs.org/newshour/politics/trumps-lawyers-seek-delay-as-they-fight-to-move-hush-money-criminal-case-out-of-manhattan,0.13636363636363635,0.45454545454545453,0.08507450192533063,0.3913778670684748
Trump trial: Dozens of jurors rejected as they say they cannot be impartial - BBC.com,https://www.bbc.com/news/world-us-canada-68671733,0.0,0.0,0.040660024906600235,0.3441929075490719
Trump trial day 1 highlights: Court adjourns for the day with no jurors picked - The Associated Press,https://apnews.com/live/trump-trial-hush-money-updates-april-15,0.0,0.0,0.10010234903295957,0.4002794008926068
Trump trial jury selection complicated by opinionated New Yorkers - BBC.com,https://www.bbc.com/news/world-us-canada-68832369,-0.18181818181818182,0.7272727272727273,0.10014233241505965,0.4664961742802651
"Only 1 in 3 US adults think Trump acted illegally in New York hush money case, AP-NORC poll shows - The Associated Press",https://apnews.com/article/trump-trial-indictment-hush-money-poll-b3d9a555993faf22e6ebfaf798bfbd2b,0.06818181818181818,0.7272727272727273,0.12559718559075764,0.4319069319712026
Joe Biden v Donald Trump - four things that could decide who wins - BBC.com,https://www.bbc.com/news/world-us-canada-68146241,0.3,0.2,0.0688980868285504,0.4220930688149231
"Prosecutors ask judge to fine Trump $3,000 over social media posts calling out witnesses - PBS NewsHour",https://www.pbs.org/newshour/politics/prosecutors-ask-judge-to-fine-trump-3000-over-social-media-posts-calling-out-witnesses,0.225,0.2833333333333333,0.13075671973977057,0.42810306454374253
Supreme Court hears 6 Jan case that may hit Trump trial - BBC.com,https://www.bbc.com/news/world-us-canada-68828004,0.0,0.0,0.03902777777777778,0.3598280423280423
What to expect at jury selection for Donald Trump’s New York criminal trial - CNN,https://edition.cnn.com/2024/04/15/politics/jury-selection-process-trump-trial/index.html,-0.13181818181818183,0.5022727272727273,0.007335077857465919,0.4568246430186728
Trump Holds Series of Meetings With Foreign Leaders - The New York Times,https://www.nytimes.com/2024/04/16/us/politics/trump-foreign-leaders.html,0.005681818181818177,0.2897727272727273,0.0147080561714708,0.3294900221729489
Day 1 of Trump New York hush money trial - CNN,https://edition.cnn.com/politics/live-news/trump-hush-money-trial-04-15-24/index.html,0.13636363636363635,0.45454545454545453,0.03624258187752681,0.41688611968293804
Trump Media stock slides again to bring it more than 66% below its peak as euphoria fades - The Associated Press,https://apnews.com/article/donald-trump-media-truth-social-902dc0a6827b2358564976efa7b6b8d2,0.5,0.5,0.1455157164829724,0.42012075353779244
"Trump leads Biden in Texas by 12 points head to head & multicandidate race with RFK, Jr., poll finds - Houston Public Media",https://www.houstonpublicmedia.org/articles/news/polls/2024/04/16/483642/trump-biden-texas-12-points-rfk-jr-poll/,0.0,0.06666666666666667,0.18527236652236653,0.4240465883323026
"Defendant Trump Heads to Harlem to Rail Against Crime, and Alvin Bragg - The New York Times",https://www.nytimes.com/2024/04/16/us/politics/trump-harlem-bragg-crime.html,0.13636363636363635,0.45454545454545453,0.024326599326599335,0.4316287878787879
Supreme Court questions obstruction charges brought against Jan. 6 rioters and Trump - The Associated Press,https://apnews.com/article/supreme-court-capitol-riot-obstruction-charge-trump-d4b01cb32cdbd2065e802902a90bd9f1,0.0,0.0,0.13929635024988796,0.4392639486399221
