標題,真實新聞連結,標題_情感極性,標題_主觀性,全文_情感極性,全文_主觀性
"[News] How Costly is the High-NA EUV? TSMC Reportedly Shocked, Considering Not Using the Equipment in its A16 Node - TrendForce",https://www.trendforce.com/news/2024/05/15/news-how-costly-is-the-high-na-euv-tsmc-reportedly-shocked-considering-not-using-the-equipment-in-its-a16-node/,-0.7,0.8,0.056603241719520817,0.4143622269203668
Man killed at TSMC construction site after 'uncontrolled pressure release' in tank with waste material - 12news.com KPNX,https://www.12news.com/article/news/local/valley/1-seriously-injured-in-reported-explosion-at-tsmc-plant-in-phoenix/75-bc432000-9805-4703-b22a-2865b8c8ec2b,-0.2,0.0,0.07365056818181819,0.33680555555555564
One worker hurt after reported explosion at TSMC chip plant - Arizona's Family,https://www.azfamily.com/video/2024/05/15/one-worker-hurt-after-reported-explosion-tsmc-chip-plant/,0.0,0.0,0.056238718908210424,0.38646892655367254
"Apple’s Next iPad Air To Jump To TSMC’s 3nm Chip, As Company Creates An Even Wider Gap With The ‘Pro’ Models - Wccftech",https://wccftech.com/apple-next-ipad-air-with-m3-chip/,0.0,0.0,0.05907028868567339,0.44300455954302087
Garbage truck driver seriously hurt in incident at TSMC in Phoenix - Arizona's Family,https://www.azfamily.com/video/2024/05/16/garbage-truck-driver-seriously-hurt-incident-tsmc-phoenix/,-0.3333333333333333,0.6666666666666666,0.04893034561067345,0.4011202185792352
"Pixel 10 Lineup Once Again Rumored To Feature 3nm SoC, With Google Possibly Working Closely With TSMC With The Rumored Expansion Of Its Taiwanese R&D Facility - Wccftech",https://wccftech.com/pixel-10-feature-3nm-chipset-google-working-closely-with-tsmc/,0.0,1.0,0.015144891538334156,0.4509374778227237
Reported explosion at TSMC plant in north Phoenix - Arizona's Family,https://www.azfamily.com/video/2024/05/15/reported-explosion-tsmc-plant-north-phoenix/,0.0,0.0,0.056238718908210424,0.38646892655367254
Samsung Has Reportedly Failed To Pass HBM3E Memory Qualification Tests Set By NVIDIA - Wccftech,https://wccftech.com/samsung-has-reportedly-failed-to-pass-hbm3e-memory-qualification-tests-set-by-nvidia/,-0.5,0.3,-0.009968614718614722,0.5149833024118737
"SMIC Has Successfully Developed The 5nm Process Without EUV Machinery, Huawei’s Mate 70 Series Likely The First Recipient Of This Technology - Wccftech",https://wccftech.com/smic-successfully-develops-5nm-process-without-euv-claims-report/,0.11666666666666665,0.5444444444444444,0.09677705101062778,0.48571997345719975
Here's why you might want to wait for the Pixel 10 series to upgrade - PhoneArena,https://www.phonearena.com/news/pixel-10-tensor-g5-built-by-tsmc-for-the-first-time_id158304,0.0,0.0,0.1487373737373737,0.4946936901482355
"[News] GPU Shortage Issue for AI Eased, Followed by a New Problem - TrendForce",https://www.trendforce.com/news/2024/05/14/news-gpu-shortage-issue-for-ai-eased-followed-by-a-new-problem/,0.13636363636363635,0.45454545454545453,0.010516185083659127,0.38490016327386556
"AMD Zen 6 to Use TSMC 2nm Process: Standard, Dense Classic & Client Dense (Zen 6c) Variants - Hardware Times",https://hardwaretimes.com/amd-zen-6-2nm-zen-6c/,0.08333333333333333,0.08333333333333333,0.076125,0.23825
